objectid,model,count_rank_1,count_rank_2,count_rank_3,count_rank_4
m12965,google/gemini-2.5-flash-lite,0,9,8,4
m12965,meta-llama/llama-4-maverick,11,0,4,6
m12965,openai/gpt-4o-mini,7,5,4,5
m12965,qwen/qwen3-vl-8b-instruct,3,7,5,6
m13176,google/gemini-2.5-flash-lite,2,4,5,10
m13176,meta-llama/llama-4-maverick,4,4,10,3
m13176,openai/gpt-4o-mini,6,6,2,7
m13176,qwen/qwen3-vl-8b-instruct,9,7,4,1
m15298_1,google/gemini-2.5-flash-lite,6,1,6,8
m15298_1,meta-llama/llama-4-maverick,2,11,7,1
m15298_1,openai/gpt-4o-mini,6,2,4,9
m15298_1,qwen/qwen3-vl-8b-instruct,7,7,4,3
m20435,google/gemini-2.5-flash-lite,5,5,8,3
m20435,meta-llama/llama-4-maverick,2,6,4,9
m20435,openai/gpt-4o-mini,3,4,6,8
m20435,qwen/qwen3-vl-8b-instruct,11,6,3,1
m22924,google/gemini-2.5-flash-lite,5,3,4,9
m22924,meta-llama/llama-4-maverick,7,3,5,6
m22924,openai/gpt-4o-mini,3,9,6,3
m22924,qwen/qwen3-vl-8b-instruct,6,6,6,3
m28635,google/gemini-2.5-flash-lite,2,6,7,6
m28635,meta-llama/llama-4-maverick,6,9,2,4
m28635,openai/gpt-4o-mini,13,3,4,1
m28635,qwen/qwen3-vl-8b-instruct,0,3,8,10
m29084,google/gemini-2.5-flash-lite,2,9,10,0
m29084,meta-llama/llama-4-maverick,2,2,2,15
m29084,openai/gpt-4o-mini,7,5,3,6
m29084,qwen/qwen3-vl-8b-instruct,10,5,6,0
m34620,google/gemini-2.5-flash-lite,3,8,9,1
m34620,meta-llama/llama-4-maverick,5,5,4,7
m34620,openai/gpt-4o-mini,4,5,3,9
m34620,qwen/qwen3-vl-8b-instruct,9,3,5,4
m37030_1,google/gemini-2.5-flash-lite,7,6,5,3
m37030_1,meta-llama/llama-4-maverick,3,7,4,7
m37030_1,openai/gpt-4o-mini,9,7,3,2
m37030_1,qwen/qwen3-vl-8b-instruct,2,1,9,9
m37716,google/gemini-2.5-flash-lite,3,2,7,9
m37716,meta-llama/llama-4-maverick,3,4,8,6
m37716,openai/gpt-4o-mini,8,8,2,3
m37716,qwen/qwen3-vl-8b-instruct,7,7,4,3
m39198_1,google/gemini-2.5-flash-lite,3,2,1,15
m39198_1,meta-llama/llama-4-maverick,4,5,9,3
m39198_1,openai/gpt-4o-mini,10,4,4,3
m39198_1,qwen/qwen3-vl-8b-instruct,4,10,7,0
m82972,google/gemini-2.5-flash-lite,11,5,3,2
m82972,meta-llama/llama-4-maverick,2,9,7,3
m82972,openai/gpt-4o-mini,5,5,4,7
m82972,qwen/qwen3-vl-8b-instruct,3,2,7,9
m88415_1,google/gemini-2.5-flash-lite,1,3,1,16
m88415_1,meta-llama/llama-4-maverick,5,9,7,0
m88415_1,openai/gpt-4o-mini,9,3,5,4
m88415_1,qwen/qwen3-vl-8b-instruct,6,6,8,1
m91000_1,google/gemini-2.5-flash-lite,1,3,6,11
m91000_1,meta-llama/llama-4-maverick,7,7,6,1
m91000_1,openai/gpt-4o-mini,5,6,2,8
m91000_1,qwen/qwen3-vl-8b-instruct,8,5,7,1
m91960,google/gemini-2.5-flash-lite,2,4,8,7
m91960,meta-llama/llama-4-maverick,10,6,4,1
m91960,openai/gpt-4o-mini,4,1,6,10
m91960,qwen/qwen3-vl-8b-instruct,5,10,3,3
m92357,google/gemini-2.5-flash-lite,8,3,5,5
m92357,meta-llama/llama-4-maverick,3,11,3,4
m92357,openai/gpt-4o-mini,5,4,7,5
m92357,qwen/qwen3-vl-8b-instruct,5,3,6,7
m92410,google/gemini-2.5-flash-lite,14,0,3,4
m92410,meta-llama/llama-4-maverick,3,6,6,6
m92410,openai/gpt-4o-mini,3,11,4,3
m92410,qwen/qwen3-vl-8b-instruct,1,4,8,8
m94271,google/gemini-2.5-flash-lite,9,3,5,4
m94271,meta-llama/llama-4-maverick,2,3,4,12
m94271,openai/gpt-4o-mini,9,4,6,2
m94271,qwen/qwen3-vl-8b-instruct,1,11,6,3
m94775,google/gemini-2.5-flash-lite,0,2,2,17
m94775,meta-llama/llama-4-maverick,4,5,9,3
m94775,openai/gpt-4o-mini,7,5,8,1
m94775,qwen/qwen3-vl-8b-instruct,10,9,2,0
m95804,google/gemini-2.5-flash-lite,2,6,10,3
m95804,meta-llama/llama-4-maverick,3,2,5,11
m95804,openai/gpt-4o-mini,9,4,1,7
m95804,qwen/qwen3-vl-8b-instruct,7,9,5,0
