objectid,min_time,median_time,max_time,mean_time,count
m88415_1,12.732,63.382,523.689,94.50285714285714,21
m91960,15.275,81.788,213.069,90.14652380952381,21
m82972,14.724,71.919,681.316,90.08019047619048,21
m20435,21.403,58.223,255.458,84.65761904761905,21
m39198_1,14.361,43.516,343.425,84.44,21
m92410,12.749,58.405,267.955,81.16157142857143,21
m92357,22.045,79.497,160.881,79.91952380952381,21
m37030_1,2.258,53.059,351.543,73.50395238095238,21
m29084,12.167,49.071,216.308,69.68047619047618,21
m34620,10.731,64.534,138.311,66.7,21
m22924,20.204,53.925,183.711,63.880047619047616,21
m15298_1,11.713,54.224,201.826,63.43480952380953,21
m28635,16.144,55.324,134.056,56.349,21
m94775,20.969,53.298,91.393,54.085190476190476,21
m12965,10.407,48.201,94.032,52.413809523809526,21
m91000_1,16.386,57.588,98.076,51.430523809523805,21
m13176,14.731,44.686,96.697,51.041476190476196,21
m37716,12.711,51.191,112.648,50.64009523809524,21
m94271,14.751,34.838,115.353,42.420476190476194,21
m95804,11.332,38.85,81.599,42.1972380952381,21
