Type,Era,Language,Geography,survey,objectID,mediaID,omekaID,Title,URL
Map,19. Jahrhundert,de,Worldwide,1,abb91000,m91000_1,13097,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",https://forschung.stadtgeschichtebasel.ch/items/abb91000.html#m91000_1
Map,Frühgeschichte,de,Europe,,abb27909,m27909_1,11493,Verbreitung der Latènekultur,https://forschung.stadtgeschichtebasel.ch/items/abb27909.html#m27909_1
Map,Antike,de,Dreiland/NW-Switzerland/Upper Rhine,,abb30203_1,m30203_1_1,12342,Fundstellen der Spätantike im Umland von Basel,https://forschung.stadtgeschichtebasel.ch/items/abb30203_1.html#m30203_1_1
Map,Antike,la,Switzerland and Neighbouring Countries,,abb29729,m29729_1,12341,"Provinzeinteilung nach der Verwaltungsreform Diokletians, um 300 n. Chr.",https://forschung.stadtgeschichtebasel.ch/items/abb29729.html#m29729_1
Map,Antike,la,Switzerland and Neighbouring Countries,,abb29613,m29613_1,12338,Gallisches Sonderreich,https://forschung.stadtgeschichtebasel.ch/items/abb29613.html#m29613_1
Photograph (Archaeological Site),21. Jahrhundert,de,Basel,,abb29165,m29165,10968,Ausgrabung im Wettsteinquartier in Basel,https://forschung.stadtgeschichtebasel.ch/items/abb29165.html#m29165
Photograph (Archaeological Site),21. Jahrhundert,de,Basel,,abb36484,m36484,11984,"Mörtelboden eines steinernen Kernbaus aus dem 12./13. Jahrhundert an der Schneidergasse 24, Ausgrabung 2020",https://forschung.stadtgeschichtebasel.ch/items/abb36484.html#m36484
Photograph (Archaeological Site),21. Jahrhundert,de,Basel,,abb30572,m30572,11446,Lössablagerungen an der Schäublinstrasse 115 im Bruderholzquartier,https://forschung.stadtgeschichtebasel.ch/items/abb30572.html#m30572
Photograph (Archaeological Site),20. Jahrhundert,de,Basel,,abb35321,m35321,12047,"Fundament der Inneren Stadtmauer unterhalb der Fassade des Casinos, Steinenberg",https://forschung.stadtgeschichtebasel.ch/items/abb35321.html#m35321
Photograph (Historical Scenes),20. Jahrhundert,de,Basel,,abb74721,m74721,12579,"Auf dem Marktplatz, 1950",https://forschung.stadtgeschichtebasel.ch/items/abb74721.html#m74721
Object,Frühe Neuzeit,de,,,abb24753,m24753,11402,Spielzeugladen für Kolonialwaren,https://forschung.stadtgeschichtebasel.ch/items/abb24753.html#m24753
"Scan of Newspapers, Posters, Lists etc.",20. Jahrhundert,de,Basel,,abb36169,m36169,12092,Efeurettung am Kohlenberg,https://forschung.stadtgeschichtebasel.ch/items/abb36169.html#m36169
Object,19. Jahrhundert,de,Dreiland/NW-Switzerland/Upper Rhine,1,abb94271,m94271,12159,Splitter einer Bombe aus der Festung Hüningen,https://forschung.stadtgeschichtebasel.ch/items/abb94271.html#m94271
Photograph (Historical Scenes),20. Jahrhundert,de,Basel,,abb73508,m73508,12363,"Wohnverhältnisse, Schlafzimmer",https://forschung.stadtgeschichtebasel.ch/items/abb73508.html#m73508
Drawing (Archaeological Reconstruction),Frühgeschichte,la,Europe,1,abb30435,m20435,11563,Umschrift der Grabinschrift des römischen Offiziers und Statthalters Lucius Munatius Plancus von seinem Grabmal,https://forschung.stadtgeschichtebasel.ch/items/abb30435.html#m20435
Photograph (Historical Scenes),19. Jahrhundert,de,Basel,1,abb95804,m95804,12251,Abbruch des St. Johanns­-Schwibbogens,https://forschung.stadtgeschichtebasel.ch/items/abb95804.html#m95804
Drawing (Archaeological Reconstruction),Mittelalter,de,Basel,,abb36710,m36710,12032,"Der ‹Schwarze Turm›, ein Geschlechter- oder Wohnturm des 13./14. Jahrhunderts",https://forschung.stadtgeschichtebasel.ch/items/abb36710.html#m36710
Photograph (Archaeological Site),Frühgeschichte,de,Basel,,abb29494,m29494,11602,"Spätlatènezeitliche Strasse mit frührömischen Balkengräben, Basel-Münsterhügel",https://forschung.stadtgeschichtebasel.ch/items/abb29494.html#m29494
"Scan of Newspapers, Posters, Lists etc.",19. Jahrhundert,de,Basel,1,abb94775,m94775,12191,"‹Merkwürdige Seltenheit›, Illustration zu einer Anzeige in den ‹Wöchentlichen Nach­richten › vom 30. Oktober 1834",https://forschung.stadtgeschichtebasel.ch/items/abb94775.html#m94775
Diagram (Statistics),20. Jahrhundert,de,Basel,1,abb88415,m88415_1,12818,"Publikumszahlen an Konzerten und FCB-Spielen im St. Jakob-Stadion, 1960–2022",https://forschung.stadtgeschichtebasel.ch/items/abb88415.html#m88415_1
Drawing (Historical Drawing),19. Jahrhundert,de,Basel,,abb92966,m92966,13027,"Plan für die Friedhofsanlage auf dem Wolf, Zeichnung von Amadeus Merian",https://forschung.stadtgeschichtebasel.ch/items/abb92966.html#m92966
Art,19. Jahrhundert,de,Basel,,abb94115,m94115,12124,Basler Familienkonzert,https://forschung.stadtgeschichtebasel.ch/items/abb94115.html#m94115
Object,Frühgeschichte,de,Basel,,abb30112,m30112,11697,Spätrömische Trinkgläser,https://forschung.stadtgeschichtebasel.ch/items/abb30112.html#m30112
"Scan of Newspapers, Posters, Lists etc.",Mittelalter,la,,,abb40696,m40696,11845,Zeichnung in einem Exemplar des ‹Lobs der Torheit› von Erasmus von Rotterdam,https://forschung.stadtgeschichtebasel.ch/items/abb40696.html#m40696
Drawing (Archaeological Reconstruction),Frühgeschichte,de,Dreiland/NW-Switzerland/Upper Rhine,,abb30541,m30541,11442,"Mögliches Aussehen der Rheinebene während der letzten Eiszeit, Blick vom Sundgau Richtung Schwarzwald",https://forschung.stadtgeschichtebasel.ch/items/abb30541.html#m30541
Object,Mittelalter,de,Basel,,abb36182,m36182,11795,Tonröhre einer Wasserleitung aus der Zeit um 1100,https://forschung.stadtgeschichtebasel.ch/items/abb36182.html#m36182
"Scan of Newspapers, Posters, Lists etc.",20. Jahrhundert,de,Basel,,abb93438,m93438,13116,Plakatwerbung für die Wohnungen am Viadukt,https://forschung.stadtgeschichtebasel.ch/items/abb93438.html#m93438
Art,Frühe Neuzeit,de,Switzerland,,abb13025,m13025,10876,Bad zu Leuk,https://forschung.stadtgeschichtebasel.ch/items/abb13025.html#m13025
Object,Mittelalter,de,Basel,,abb40043,m40043,10975;11828,Skelett eines Berberaffen,https://forschung.stadtgeschichtebasel.ch/items/abb40043.html#m40043
Map,20. Jahrhundert,de,Basel,1,abb15298,m15298_1,13138,Zwischen 1912 und 1966 neu erbaute Gotteshäuser in Basel,https://forschung.stadtgeschichtebasel.ch/items/abb15298.html#m15298_1
"Scan of Newspapers, Posters, Lists etc.",20. Jahrhundert,de,Worldwide,,abb90411,m90411,13069,Weltkarte der Basler Mission,https://forschung.stadtgeschichtebasel.ch/items/abb90411.html
Photograph (Archaeological Site),20. Jahrhundert,de,Basel,1,abb34620,m34620,11797,Ausgrabung im Chor der Peterskirche im Jahr 1962,https://forschung.stadtgeschichtebasel.ch/items/abb34620.html#m34620
"Scan of Newspapers, Posters, Lists etc.",19. Jahrhundert,de,Basel,,abb93409,m93409,13052,Plakat zur Jubiläumsausstellung des Malers Arnold Böcklin,https://forschung.stadtgeschichtebasel.ch/items/abb93409.html#m93409
Drawing (Archaeological Reconstruction),Mittelalter,de,Basel,,abb37088,m37088,11917,Rekonstruktionsvorschlag zur Benutzung des Mörtelmischers,https://forschung.stadtgeschichtebasel.ch/items/abb37088.html#m37088
Drawing (Archaeological Reconstruction),Frühgeschichte,de,Basel,,abb30171,m30171,11701,Rekonstruktionszeichnung zur Tragweise einer spätrömischen Gürtelgarnitur,https://forschung.stadtgeschichtebasel.ch/items/abb30171.html#m30171
Photograph (Archaeological Site),Frühgeschichte,de,Basel,,abb28481,m28481,11543,Freilegung der Bestattungen in Basel-Gasfabrik,https://forschung.stadtgeschichtebasel.ch/items/abb28481.html#m28481
Diagram (Statistics),Frühe Neuzeit,de,Basel,,abb39492,m39492_1,12690,"Bürgeraufnahmen und Kriegsausgaben, 1360–1530",https://forschung.stadtgeschichtebasel.ch/items/abb39492.html#m39492_1
"Diagram (Flowchart, Schema etc.)",20. Jahrhundert,de,Switzerland and Neighbouring Countries,,abb90946,m90496_1,12734,"Der Bankverein im internationalen Vergleich, 1913",https://forschung.stadtgeschichtebasel.ch/items/abb90946.html#m90496_1
Photograph (Historical Scenes),20. Jahrhundert,de,Basel,1,abb92410,m92410,12461,Faltblatt der Gruppe ‹Freiräume für Frauen› (FFF),https://forschung.stadtgeschichtebasel.ch/items/abb92410.html
Map,Mittelalter,de,Dreiland/NW-Switzerland/Upper Rhine,,abb40946,m40946_1,11887,Besitz des Kaufmanns Ulrich Meltinger im Umland von Basel,https://forschung.stadtgeschichtebasel.ch/items/abb40946.html#m40946_1
Photograph (Historical Scenes),20. Jahrhundert,de,Basel,,abb92205,m92205,12667,"Mustermesse Basel, 1972",https://forschung.stadtgeschichtebasel.ch/items/abb92205.html
Object,Frühgeschichte,de,Basel,,abb30696,m30696,11476,"Nordeuropäisches Bronzemesser mit Menschenkopf, Basel-Gasfabrik",https://forschung.stadtgeschichtebasel.ch/items/abb30696.html#m30696
Object,Mittelalter,de,Dreiland/NW-Switzerland/Upper Rhine,,abb37490,m37490,12082,"Büstenreliquiar des heiligen Pantalus, Seitenansicht",https://forschung.stadtgeschichtebasel.ch/items/abb37490.html#m37490
Photograph (Historical Scenes),20. Jahrhundert,de,Basel,,abb74768,m74768,12575,"Auf dem Marktplatz, 1963",https://forschung.stadtgeschichtebasel.ch/items/abb74768.html#m74768
