question_id,question_text,option_1_id,option_1_label,option_2_id,option_2_label
m94775__1,images/m94775.jpg,google/gemini-2.5-flash-lite,"Darstellung eines Afrikaners der Ashantee-Nation mit Pfeilen und Bogen, Illustration einer Anzeige.",mistralai/pixtral-12b,"Historische Anzeige, 1834. Ankündigung eines «Afrikaners» von der kriegerischen Nation der Ashantées an der Herbstmesse. Basler Missionstätigkeit in Westafrika."
m94775__2,images/m94775.jpg,openai/gpt-4o-mini,"Illustration zu einer Anzeige in den ‹Wöchentlichen Nachrichten› vom 30. Oktober 1834. Eingekreist ist eine Figur eines Mannes in traditioneller afrikanischer Kleidung mit einer Waffe, die einen Ashanti aus Westafrika darstellen soll. Im Kontext der Anzeige wird auf die bevorstehende Herbstmesse hingewiesen, bei der dieser „Afrikaner“ vorgestellt wird.",google/gemini-2.5-flash-lite,"Darstellung eines Afrikaners der Ashantee-Nation mit Pfeilen und Bogen, Illustration einer Anzeige."
m94775__3,images/m94775.jpg,meta-llama/llama-4-maverick,"Zeitungsseite mit Anzeige für einen ""Afrikaner von der kriegerischen Nation der Ashantées"". Rechts unten Illustration eines stehenden Mannes mit Speer und Schild.",google/gemini-2.5-flash-lite,"Darstellung eines Afrikaners der Ashantee-Nation mit Pfeilen und Bogen, Illustration einer Anzeige."
m94775__4,images/m94775.jpg,mistralai/pixtral-12b,"Historische Anzeige, 1834. Ankündigung eines «Afrikaners» von der kriegerischen Nation der Ashantées an der Herbstmesse. Basler Missionstätigkeit in Westafrika.",openai/gpt-4o-mini,"Illustration zu einer Anzeige in den ‹Wöchentlichen Nachrichten› vom 30. Oktober 1834. Eingekreist ist eine Figur eines Mannes in traditioneller afrikanischer Kleidung mit einer Waffe, die einen Ashanti aus Westafrika darstellen soll. Im Kontext der Anzeige wird auf die bevorstehende Herbstmesse hingewiesen, bei der dieser „Afrikaner“ vorgestellt wird."
m94775__5,images/m94775.jpg,mistralai/pixtral-12b,"Historische Anzeige, 1834. Ankündigung eines «Afrikaners» von der kriegerischen Nation der Ashantées an der Herbstmesse. Basler Missionstätigkeit in Westafrika.",meta-llama/llama-4-maverick,"Zeitungsseite mit Anzeige für einen ""Afrikaner von der kriegerischen Nation der Ashantées"". Rechts unten Illustration eines stehenden Mannes mit Speer und Schild."
m94775__6,images/m94775.jpg,openai/gpt-4o-mini,"Illustration zu einer Anzeige in den ‹Wöchentlichen Nachrichten› vom 30. Oktober 1834. Eingekreist ist eine Figur eines Mannes in traditioneller afrikanischer Kleidung mit einer Waffe, die einen Ashanti aus Westafrika darstellen soll. Im Kontext der Anzeige wird auf die bevorstehende Herbstmesse hingewiesen, bei der dieser „Afrikaner“ vorgestellt wird.",meta-llama/llama-4-maverick,"Zeitungsseite mit Anzeige für einen ""Afrikaner von der kriegerischen Nation der Ashantées"". Rechts unten Illustration eines stehenden Mannes mit Speer und Schild."
m27909_1__1,images/m27909_1.jpg,mistralai/pixtral-12b,"Verbreitung der Latènekultur in Europa, 4. bis 1. Jahrhundert v. Chr., mit regionalen Besonderheiten.",google/gemini-2.5-flash-lite,"Karte zur Verbreitung der Latènekultur in Europa, 4. bis 1. Jh. v. Chr. Angezeigt sind das Kerngebiet und Fundorte (rote Punkte)."
m27909_1__2,images/m27909_1.jpg,google/gemini-2.5-flash-lite,"Karte zur Verbreitung der Latènekultur in Europa, 4. bis 1. Jh. v. Chr. Angezeigt sind das Kerngebiet und Fundorte (rote Punkte).",openai/gpt-4o-mini,"Karte der Verbreitung der Latènekultur, die ein hellgelbes Gebiet zeigt, das sich von West- bis Osteuropa erstreckt. Rote Punkte markieren Fundorte. Diese Kultur war zwischen dem 4. und 1. Jahrhundert v. Chr. verbreitet, weist jedoch regionale Besonderheiten auf."
m27909_1__3,images/m27909_1.jpg,meta-llama/llama-4-maverick,"Verbreitung der Latènekultur in Europa, orange markiert, mit Fundorten als rote Punkte. Städte wie Basel, Marseille und Delphi sind hervorgehoben.",google/gemini-2.5-flash-lite,"Karte zur Verbreitung der Latènekultur in Europa, 4. bis 1. Jh. v. Chr. Angezeigt sind das Kerngebiet und Fundorte (rote Punkte)."
m27909_1__4,images/m27909_1.jpg,openai/gpt-4o-mini,"Karte der Verbreitung der Latènekultur, die ein hellgelbes Gebiet zeigt, das sich von West- bis Osteuropa erstreckt. Rote Punkte markieren Fundorte. Diese Kultur war zwischen dem 4. und 1. Jahrhundert v. Chr. verbreitet, weist jedoch regionale Besonderheiten auf.",mistralai/pixtral-12b,"Verbreitung der Latènekultur in Europa, 4. bis 1. Jahrhundert v. Chr., mit regionalen Besonderheiten."
