objectid,prompt_sha256,google__gemini-2.5-flash-lite__content,meta-llama__llama-4-maverick__content,mistralai__pixtral-12b__content,openai__gpt-4o-mini__content,google__gemini-2.5-flash-lite__finish_reason,meta-llama__llama-4-maverick__finish_reason,mistralai__pixtral-12b__finish_reason,openai__gpt-4o-mini__finish_reason,google__gemini-2.5-flash-lite__usage_prompt_tokens,meta-llama__llama-4-maverick__usage_prompt_tokens,mistralai__pixtral-12b__usage_prompt_tokens,openai__gpt-4o-mini__usage_prompt_tokens,google__gemini-2.5-flash-lite__usage_completion_tokens,meta-llama__llama-4-maverick__usage_completion_tokens,mistralai__pixtral-12b__usage_completion_tokens,openai__gpt-4o-mini__usage_completion_tokens,google__gemini-2.5-flash-lite__usage_total_tokens,meta-llama__llama-4-maverick__usage_total_tokens,mistralai__pixtral-12b__usage_total_tokens,openai__gpt-4o-mini__usage_total_tokens,google__gemini-2.5-flash-lite__usage_cost,meta-llama__llama-4-maverick__usage_cost,mistralai__pixtral-12b__usage_cost,openai__gpt-4o-mini__usage_cost,google__gemini-2.5-flash-lite__provider,meta-llama__llama-4-maverick__provider,mistralai__pixtral-12b__provider,openai__gpt-4o-mini__provider,google__gemini-2.5-flash-lite__created,meta-llama__llama-4-maverick__created,mistralai__pixtral-12b__created,openai__gpt-4o-mini__created,google__gemini-2.5-flash-lite__id,meta-llama__llama-4-maverick__id,mistralai__pixtral-12b__id,openai__gpt-4o-mini__id,google__gemini-2.5-flash-lite__request_started_utc,meta-llama__llama-4-maverick__request_started_utc,mistralai__pixtral-12b__request_started_utc,openai__gpt-4o-mini__request_started_utc,google__gemini-2.5-flash-lite__request_ended_utc,meta-llama__llama-4-maverick__request_ended_utc,mistralai__pixtral-12b__request_ended_utc,openai__gpt-4o-mini__request_ended_utc,google__gemini-2.5-flash-lite__latency_seconds,meta-llama__llama-4-maverick__latency_seconds,mistralai__pixtral-12b__latency_seconds,openai__gpt-4o-mini__latency_seconds,google__gemini-2.5-flash-lite__error,meta-llama__llama-4-maverick__error,mistralai__pixtral-12b__error,openai__gpt-4o-mini__error,created_utc
m12965,2c4a5ebcd0076a2506855b1bac8e9625a52b4c994164a3ab6aa52002927751e3,"Getrocknete Kartoffelpflanze, vermutlich der älteste erhaltene Beleg, von Caspar Bauhin um 1600 in Basel angepflanzt und präpariert.","Getrocknete Blätter einer Kartoffelpflanze, auf Papier aufgeklebt, teils braun verfärbt, um 1600.",,"Herbariumblatt mit einer getrockneten Kartoffelpflanze (Solanum tuberosum esculentum). Die Pflanze ist auf einem beigen Papier montiert, mit braunen Blättern und verblassten Blüten. Rechts unten befindet sich eine Beschriftung mit der Bezeichnung der Pflanze sowie dem Sammlernamen.",stop,stop,,stop,2470,1696,2100,26183,37,30,0,72,2507,1726,2100,26255,0.0002618,0.0002799,0.0,0.00397065,Google,Parasail,Hyperbolic,OpenAI,1761069505,1761069510,1761069507,1761069507,gen-1761069505-VgO0J9hooWrtMVhK4G8a,gen-1761069510-1pcFHgs2dlXvCYMf8D11,gen-1761069507-snT5yTRPzkQPanKfVG4n,gen-1761069507-63sNyfDXO2SOiJx7eY7k,2025-10-21T17:58:25+00:00,2025-10-21T17:58:30+00:00,2025-10-21T17:58:27+00:00,2025-10-21T17:58:27+00:00,2025-10-21T17:58:27+00:00,2025-10-21T17:58:32+00:00,2025-10-21T17:58:27+00:00,2025-10-21T17:58:30+00:00,1.8151,1.310046,0.388571,3.259776,,,,,2025-10-21T17:59:09+00:00
m13176,3e446a49a6be8f786d25fb91758cf19d8313bbf9ecaf21e1379d67e29aff7a6b,"Gestochener Narr bei Tisch mit Würsten, Brot und Krug, daneben ein Schwein, das kotend frisst. Gouache, 17. Jh.","Narr in roter Kappe isst mit Messer und Löffel; Schwein, Krüge und Schüsseln neben ihm, kolorierte Zeichnung mit handschriftlichem Text, 17. Jahrhundert, Stammbuch von Jacob Götz.",,"Illustration eines «fressenden Narren» aus dem Stammbuch von Jacob Götz. Der Narr, in buntem Anzug und mit einer roten Mütze, sitzt auf einem Hocker und hält ein großes Hühnerbein. Zu seinen Füßen frisst ein Schwein. Um ihn herum sind verschiedene Esswaren und Krüge zu sehen. Die Szene weist auf Übermaß und Exzesse hin. Farbige Aquarelltechniken wurden verwendet.",stop,stop,,stop,2383,1597,2014,26098,35,52,0,96,2418,1649,2014,26194,0.0002523,0.0003971,0.0,0.0039723,Google,Fireworks,Hyperbolic,OpenAI,1761069495,1761069503,1761069499,1761069499,gen-1761069495-vObGeY5Dy1VTNmaycg00,gen-1761069503-jjTHmixm861IuLdirs6s,gen-1761069499-Yxi8sDPpUQLTrvPy2K8q,gen-1761069499-lIjuQc0VV6M2QmtTSR1d,2025-10-21T17:58:15+00:00,2025-10-21T17:58:23+00:00,2025-10-21T17:58:18+00:00,2025-10-21T17:58:19+00:00,2025-10-21T17:58:18+00:00,2025-10-21T17:58:25+00:00,2025-10-21T17:58:19+00:00,2025-10-21T17:58:23+00:00,3.107328,1.439563,0.442498,4.386588,,,,,2025-10-21T17:59:09+00:00
m15298_1,0772a526b8d6611017bba7fb197ae891e51d1ca59b8b001c9560fecde4c5f326,"Karte von Basel mit neu erbauten Gotteshäusern zwischen 1912 und 1966. Verzeichnet sind katholische, evangelisch-reformierte und jüdische Gotteshäuser.","Karte von Basel mit Standorten neuer Gotteshäuser zwischen 1912 und 1966, kategorisiert nach römisch-katholisch, evangelisch-reformiert und jüdisch, mit Baujahr.",,Karte der zwischen 1912 und 1966 neu erbauten Gotteshäuser in Basel. Markiert sind Kirchen der römisch-katholischen und evangelisch-reformierten Gemeinschaften sowie eine Synagoge der Israelitischen Religionsgesellschaft. Farblich hervorgehoben sind die unterschiedlichen Religionszugehörigkeiten. Die Karte zeigt Standorte und Erbauungsjahre der Gotteshäuser.,stop,stop,,stop,2052,2455,2139,26253,40,43,0,86,2092,2498,2139,26339,0.0002212,0.0009087,0.0,0.00398955,Google,Google,Hyperbolic,OpenAI,1761069431,1761069438,1761069433,1761069434,gen-1761069431-UK5w8DiGgBfkdDwnmORp,gen-1761069438-fa8alOSxwnbzpp600LkD,gen-1761069433-je04Qr2Y7nzA5geFe9p1,gen-1761069434-nZ6Uxim7Tj6kDmu95b71,2025-10-21T17:57:11+00:00,2025-10-21T17:57:18+00:00,2025-10-21T17:57:13+00:00,2025-10-21T17:57:14+00:00,2025-10-21T17:57:13+00:00,2025-10-21T17:57:22+00:00,2025-10-21T17:57:14+00:00,2025-10-21T17:57:18+00:00,2.734952,4.189583,0.386507,3.902346,,,,,2025-10-21T17:59:09+00:00
m22924,c20806067c5391b4ee71dbbc48279141040d6d7b29154463d9d6b26632b1d057,"Federzeichnung eines zirkumpolaren Panoramas von Basel aus dem Jahr 1787, gesehen von einem Kamin.","Zirkumpolares Horizontalpanorama der Stadt Basel, Federzeichnung, 1787, mit zentralem Kamin des ""Blauen Hauses"" und 360-Grad-Sicht auf Basel und Umgebung, schwarz-weiß, mit Beschriftung am Rand.",,"Federzeichnung eines zirkumpolaren Horizontalpanoramas der Stadt Basel, 1787. 360-Grad-Umsicht vom Kamin des Blauen Hauses, mit Blick auf die Stadt und Umgebung. Dominante zentrale Struktur und kreisförmige Anordnung der Landschaft.",stop,stop,,stop,1883,2061,2000,26097,27,55,0,57,1910,2116,2000,26154,0.0001991,0.0007846,0.0,0.00394875,Google,Google,Hyperbolic,OpenAI,1761069486,1761069493,1761069488,1761069489,gen-1761069486-fxKcVoedrhbMJCHBoOuQ,gen-1761069493-8m2gPZBj13zpnVCthPfC,gen-1761069488-m9e3yg95NevvW0OV7Cq3,gen-1761069489-Z7Xy7tGrose31ZQutw0v,2025-10-21T17:58:06+00:00,2025-10-21T17:58:13+00:00,2025-10-21T17:58:08+00:00,2025-10-21T17:58:09+00:00,2025-10-21T17:58:08+00:00,2025-10-21T17:58:15+00:00,2025-10-21T17:58:09+00:00,2025-10-21T17:58:13+00:00,1.917918,2.662599,0.406711,4.015764,,,,,2025-10-21T17:59:09+00:00
m28635,859582212311f27a44b9d130c89eab556ef7d8ea54ff71c5cf05a238e0176deb,"Szene der Eiszeit bei Basel: Ein Neandertaler mit Kind auf den Schultern blickt auf eine Landschaft mit Mammuten, Vögeln und Aas.",Rekonstruktion einer mittelpaläolithischen Landschaft bei Riehen vor 48 000 Jahren mit Neandertalern beim Jagen von Wildtieren wie Mammuten und Riesenhirschen an einem mäandrierenden Rhein.,"Mann mit Kind auf den Schultern, Steinzeit, Landschaft mit Wildtieren.","Landschaft im späteren Mittelpaläolithikum mit einem Neandertaler, der ein Kind auf den Schultern trägt. Der Hintergrund zeigt eine vielfältige Vegetation mit einer Wasserfläche und Wildtieren wie Vögeln und großen Säugetieren. Die Szene suggeriert eine Lebendigkeit der damaligen Umwelt und Jagdsituation.",stop,stop,stop,stop,2420,1638,2486,26130,35,49,18,71,2455,1687,2504,26201,0.000256,0.00028735,0.0003756,0.0039621,Google,Parasail,Mistral,OpenAI,1761069512,1761069520,1761069514,1761069515,gen-1761069512-7K6uEyLm5IySqWLbukt9,gen-1761069520-ZPbIwSDkaBZ7BGvtGjVA,gen-1761069514-mBiCsoHOf6uWL18ehYhS,gen-1761069515-qkez6fMjXnGgVcUpSFeq,2025-10-21T17:58:32+00:00,2025-10-21T17:58:40+00:00,2025-10-21T17:58:34+00:00,2025-10-21T17:58:35+00:00,2025-10-21T17:58:34+00:00,2025-10-21T17:58:42+00:00,2025-10-21T17:58:35+00:00,2025-10-21T17:58:40+00:00,2.261902,1.983393,0.8564,4.733091,,,,,2025-10-21T17:59:09+00:00
m29084,705f6ab4ce50af92edd8ddeb98acfa944a3dc1cad8edc204d4b34dd3f647a9a6,"Rekonstruktionen verschiedener frühmittelalterlicher Grabtypen in Basel: Steinplatten-, Mauer- und Kammergräber, Hügelgräber, Brandgräber sowie einfache Erdbestattungen.","Rekonstruktionszeichnungen frühmittelalterlicher Grabtypen: Steinplattengrab, Mauer- und Kammergrab, Brandgrab und Erdbestattung.",,"Schematische Zeichnungen verschiedener frühmittelalterlicher Grabtypen. Oben: Steinplatten-, Mauer- und Kammergräber (Aufsicht und Querschnitt). Unten: Brandgräber und einfache Erdbestattungen (Aufsicht). Grafische Darstellung von Skelettelementen und Grabkonstruktionen.",stop,stop,,stop,1878,2047,2035,26119,38,35,0,68,1916,2082,2035,26187,0.000203,0.00048114,0.0,0.00395865,Google,Fireworks,Hyperbolic,OpenAI,1761069522,1761069528,1761069524,1761069524,gen-1761069522-wX941OPD813P9hcZAAWY,gen-1761069527-fwGQavRvkxVVXiGKNnr7,gen-1761069524-H1B7Ct9ANinpJzLFn45N,gen-1761069524-ub7K2TX1F8fmXgCvB2cU,2025-10-21T17:58:42+00:00,2025-10-21T17:58:47+00:00,2025-10-21T17:58:44+00:00,2025-10-21T17:58:44+00:00,2025-10-21T17:58:44+00:00,2025-10-21T17:58:52+00:00,2025-10-21T17:58:44+00:00,2025-10-21T17:58:47+00:00,2.202901,4.096015,0.418628,3.234443,,,,,2025-10-21T17:59:09+00:00
m34620,805d3a23106af680d1ea5dfaaa9ce3b63f4189bff86c004ae96f83c4f084c0e7,"Ausgrabung von drei Bauphasen im Chor der Peterskirche: Gründungsbau (9./10. Jh.), romanische Fundamente mit Apsis (10./11. Jh.) und gotische Fundamente (13. Jh.).","Ausgegrabenes Fundament der Peterskirche mit rechteckigem Chor (9./10. Jh.), halbrunder Apsis (10./11. Jh.) und gotischem Rechteckchor (13. Jh.).",,"Rechteckiger Chor der Peterskirche mit romanischen Fundamenten und halbrunder Apsis. Sichtbare Mauerwerke stammen aus verschiedenen Baustilen, datiert auf das 9. bis 13. Jahrhundert. Ausgrabung 1962.",stop,stop,,stop,1869,2027,1991,26097,52,47,0,52,1921,2074,1991,26149,0.0002077,0.00038454,0.0,0.00394575,Google,Novita,Hyperbolic,OpenAI,1761069442,1761069448,1761069445,1761069445,gen-1761069442-fzclbtQWcfFQi5sBiZ1j,gen-1761069448-YIeCU6pAokTOmgMkx0rL,gen-1761069445-rT41LfuIAiKdVifN2qQR,gen-1761069445-HaXhILpBgamLhUqslKNo,2025-10-21T17:57:22+00:00,2025-10-21T17:57:28+00:00,2025-10-21T17:57:25+00:00,2025-10-21T17:57:25+00:00,2025-10-21T17:57:25+00:00,2025-10-21T17:57:30+00:00,2025-10-21T17:57:25+00:00,2025-10-21T17:57:28+00:00,2.705444,1.984407,0.487727,3.14877,,,,,2025-10-21T17:59:09+00:00
m37030_1,b98a34e690f2d6d1a4804b0a71c1274f770f6ef89f4fec8deb9257fe686d135c,"Diagramm des indirekten Wahlverfahrens mit Kieserkollegium, um 1260. Blauer, orangener und grüner Kreis symbolisieren Räte.","Schema des mittelalterlichen Wahlverfahrens mit ""alter Rat"", temporärem ""Kieserkollegium (Wahlbehörde)"" und ""neuer Rat""; farbige Kreise symbolisieren Mitglieder, Pfeile zeigen Wahlvorgänge.",,"Grafik des indirekten Wahlverfahrens gemäß der ‹Handfeste› aus etwa 1260. Abgebildet sind die Wahlprozesse in einem temporären Kieserkollegium, das zwischen dem alten und neuen Rat vermittelt. Die Anordnung zeigt farbige Punkte, die verschiedene Stimmen darstellen, mit Wahlprozessen zwischen den Räten und dem Kollegium.",stop,stop,,stop,2474,1382,2091,14841,37,50,0,76,2511,1432,2091,14917,0.0002622,0.00034804,0.0,0.00227175,Google,Fireworks,Hyperbolic,OpenAI,1761069532,1761069537,1761069534,1761069535,gen-1761069532-0FJKpUZX2RzL9ow0lZIT,gen-1761069537-hRWFapAJYf5lAikBBbMK,gen-1761069534-R7JwnZvxgEHpZi935dO8,gen-1761069534-TG8D6BqUErkVbXThZAp1,2025-10-21T17:58:52+00:00,2025-10-21T17:58:57+00:00,2025-10-21T17:58:53+00:00,2025-10-21T17:58:54+00:00,2025-10-21T17:58:53+00:00,2025-10-21T17:58:59+00:00,2025-10-21T17:58:54+00:00,2025-10-21T17:58:57+00:00,1.92081,1.615469,0.503872,3.086444,,,,,2025-10-21T17:59:09+00:00
m37716,87ec4150ed5d8542e39c010a9bb4d429c4d5b1c35015b22a5ff2baf34f241879,Freigelegte Reste der Inneren Stadtmauer von Basel aus dem Mittelalter. Die Aufnahme zeigt die mächtige Ausdehnung der Anlage.,"Freigelegte Reste der Inneren Stadtmauer mit Baugrubensicherung am St. Alban-Graben in Basel. Mauerfragmente, durch Metallspundwände gesichert, in einer tiefen Baugrube.",,"Längere Strecke der Inneren Stadtmauer, freigelegt 2020 am St. Alban-Graben. Sichtbar sind die robusten Steinmauern, umgeben von Baustelleninfrastruktur und mehreren Bauarbeitern in Sicherheitskleidung. Der Zustand ist teilweise restauriert und unvollständig sichtbar.",stop,stop,,stop,2361,1588,1990,26075,27,50,0,64,2388,1638,1990,26139,0.0002469,0.0002807,0.0,0.00394965,Google,Parasail,Hyperbolic,OpenAI,1761069477,1761069484,1761069479,1761069480,gen-1761069477-Jt1m8CIAbuyqgpt877yl,gen-1761069484-fu7Cp3EheYWXuyVvFMEi,gen-1761069479-fIIh2xm3ozZIBkmp3mAc,gen-1761069480-yGFKHxJlwAv6RAeDGWEf,2025-10-21T17:57:57+00:00,2025-10-21T17:58:04+00:00,2025-10-21T17:57:59+00:00,2025-10-21T17:58:00+00:00,2025-10-21T17:57:59+00:00,2025-10-21T17:58:06+00:00,2025-10-21T17:58:00+00:00,2025-10-21T17:58:04+00:00,2.195484,1.890923,0.38603,4.600159,,,,,2025-10-21T17:59:09+00:00
m39198_1,0349190242fd335cb1cf9c28c2f496e789daf7f496f391f4b2e625b517a728da,Flussdiagramm des Textilhandels von Ulrich Meltinger (1468/1493) mit Handelsbeziehungen und Produktionsstandorten in der Oberrheinregion.,"Handelsrouten des Basler Kaufmanns Ulrich Meltinger, 1468/1493. Blaue und gelbe Pfeile zeigen Handelswege in der Oberrheinregion und darüber hinaus.","Handelspfade des Kaufmanns Ulrich Meltinger. Engagiert in Textilhandel, importierte und regionale Produkte. Zentrale Knotenpunkte: England, Flandern, Frankfurt, Elsass, Colmar, Masmünster, Freiburg, Solothurn, Zürich, Glarus, Freiburg/Üe.","Diagramm zur Handelsaktivität von Ulrich Meltinger im Textilsektor zwischen 1468 und 1493. Es zeigt Handelsbeziehungen zwischen den Produktionsstandorten und verschiedenen Akteuren im Textilhandel, einschließlich Schäfern, Hutmachern und Tuchmachern in Städten wie Frankfurt, Colmar, Freiburg und Zürich. Die Farbmarkierungen verdeutlichen die Handelswege und Verbindungen.",stop,stop,stop,stop,1897,2061,2852,26116,37,42,69,84,1934,2103,2921,26200,0.0002045,0.00034485,0.00043815,0.0039678,Google,Parasail,Mistral,OpenAI,1761069539,1761069547,1761069541,1761069543,gen-1761069539-Lr7z5YqboIiCiqQzqclD,gen-1761069547-zBYI4VjY3cNq6qxRcSl8,gen-1761069541-YIhSX0UICRH1xPqPNHCJ,gen-1761069543-ncajfqHpqTCJNAtvOfLm,2025-10-21T17:58:59+00:00,2025-10-21T17:59:07+00:00,2025-10-21T17:59:01+00:00,2025-10-21T17:59:03+00:00,2025-10-21T17:59:01+00:00,2025-10-21T17:59:09+00:00,2025-10-21T17:59:03+00:00,2025-10-21T17:59:07+00:00,2.419851,1.782798,1.47827,4.247321,,,,,2025-10-21T17:59:09+00:00
