objectid,title,prompt_sha256,google__gemini-2.5-flash-lite__content,meta-llama__llama-4-maverick__content,mistralai__pixtral-12b__content,openai__gpt-4o-mini__content,google__gemini-2.5-flash-lite__finish_reason,meta-llama__llama-4-maverick__finish_reason,mistralai__pixtral-12b__finish_reason,openai__gpt-4o-mini__finish_reason,google__gemini-2.5-flash-lite__usage_prompt_tokens,meta-llama__llama-4-maverick__usage_prompt_tokens,mistralai__pixtral-12b__usage_prompt_tokens,openai__gpt-4o-mini__usage_prompt_tokens,google__gemini-2.5-flash-lite__usage_completion_tokens,meta-llama__llama-4-maverick__usage_completion_tokens,mistralai__pixtral-12b__usage_completion_tokens,openai__gpt-4o-mini__usage_completion_tokens,google__gemini-2.5-flash-lite__usage_total_tokens,meta-llama__llama-4-maverick__usage_total_tokens,mistralai__pixtral-12b__usage_total_tokens,openai__gpt-4o-mini__usage_total_tokens,google__gemini-2.5-flash-lite__usage_cost,meta-llama__llama-4-maverick__usage_cost,mistralai__pixtral-12b__usage_cost,openai__gpt-4o-mini__usage_cost,google__gemini-2.5-flash-lite__provider,meta-llama__llama-4-maverick__provider,mistralai__pixtral-12b__provider,openai__gpt-4o-mini__provider,google__gemini-2.5-flash-lite__created,meta-llama__llama-4-maverick__created,mistralai__pixtral-12b__created,openai__gpt-4o-mini__created,google__gemini-2.5-flash-lite__id,meta-llama__llama-4-maverick__id,mistralai__pixtral-12b__id,openai__gpt-4o-mini__id,google__gemini-2.5-flash-lite__request_started_utc,meta-llama__llama-4-maverick__request_started_utc,mistralai__pixtral-12b__request_started_utc,openai__gpt-4o-mini__request_started_utc,google__gemini-2.5-flash-lite__request_ended_utc,meta-llama__llama-4-maverick__request_ended_utc,mistralai__pixtral-12b__request_ended_utc,openai__gpt-4o-mini__request_ended_utc,google__gemini-2.5-flash-lite__latency_seconds,meta-llama__llama-4-maverick__latency_seconds,mistralai__pixtral-12b__latency_seconds,openai__gpt-4o-mini__latency_seconds,google__gemini-2.5-flash-lite__error,meta-llama__llama-4-maverick__error,mistralai__pixtral-12b__error,openai__gpt-4o-mini__error,created_utc
m12965,"Kartoffelpflanze, Auszug aus einem Herbarium",ad2d9213c3d788888e6ee984ad364025faf0d34ac146c8bf439f595ced12c7de,"Getrocknete Kartoffelpflanze aus dem Herbarium von Caspar Bauhin, ca. 1600. Mehrere Zweige mit braunen Blättern und vergilbten Blüten auf Papier montiert.",Getrocknete Kartoffelpflanze mit braunen Blättern und Stielen auf beige-gemustertem Untergrund.,Getrocknete Kartoffelpflanze aus einem Herbarium. Braun-beige Blätter und Stängel. Beschriftung am unteren Rand.,"Herbarium-Beleg der Kartoffelpflanze (Solanum tuberosum esculentum) von Caspar Bauhin. Enthält getrocknete Blätter und Blüten mit unterschiedlichen Farbtönen, darunter grünlich und bräunlich. Der Hintergrund ist beige, und die Pflanze ist auf einer festen Unterlage befestigt. Beschriftungen geben zusätzliche Informationen zur Art.",stop,stop,stop,stop,2464,1685,2451,26171,43,28,32,80,2507,1713,2483,26251,0.0002636,0.00027655,0.00037245,0.00397365,Google,Parasail,Mistral,OpenAI,1761079435,1761079442,1761079437,1761079438,gen-1761079435-2Ji0C6jEv190tXN1sr9e,gen-1761079442-twE9LLy7oSuF6rWC4xpo,gen-1761079437-elGpQInQYxeRjjnlZg2a,gen-1761079438-jq5EyvtgoC23fdGDTQXo,2025-10-21T20:43:55+00:00,2025-10-21T20:44:01+00:00,2025-10-21T20:43:57+00:00,2025-10-21T20:43:58+00:00,2025-10-21T20:43:57+00:00,2025-10-21T20:44:03+00:00,2025-10-21T20:43:58+00:00,2025-10-21T20:44:01+00:00,2.258035,1.984627,1.035462,3.539735,,,,,2025-10-21T20:44:46+00:00
m13176,‹Fressender Narr› aus dem Stammbuch von Jacob Götz,9893a7ff65f4181096e8628da55012edfa5a369c88514c20816cfcd2ffb93652,"Stammbuchblatt mit illuminierter Zeichnung eines Narren, der sitzt und isst, während ein Wildschwein vor ihm würgt. Datierung 17. Jahrhundert.","Fragmentierte, überlappende Papierstücke mit Text und Illustrationen, teilweise beschädigt und vergilbt.","Stammbuchseite mit ‹Fressender Narr›. Figur in rotem Umhang und Hut, trinkend und essend. Begleitet von einem Schwein und verschiedenen Gefäßen. Lateinischer Text auf der Seite.","Bild eines fressenden Narren in einem Stammbuch, umgeben von Trinkgefäßen und Speisen. Der Narr in buntem Gewand sitzt auf einem Stuhl und hält einen großen Humpen. Ein Eber nähert sich ihm, während auf der linken Seite ein Krug und ein Teller sichtbar sind. Der Hintergrund enthält weitere Gefäße. Die Darstellung thematisiert Exzesse beim Baden.",stop,stop,stop,stop,2375,1596,2546,26086,39,24,52,85,2414,1620,2598,26171,0.0002531,0.0002598,0.0003897,0.0039639,Google,Parasail,Mistral,OpenAI,1761079423,1761079433,1761079427,1761079429,gen-1761079423-al8cv9r8B7Q5bNietrL8,gen-1761079433-OsZJcpUjPHwcktEwII8j,gen-1761079427-SuHRviNHuhWnW1YJyvfr,gen-1761079429-VSzFgABIVZxdodomQDbU,2025-10-21T20:43:43+00:00,2025-10-21T20:43:53+00:00,2025-10-21T20:43:47+00:00,2025-10-21T20:43:49+00:00,2025-10-21T20:43:47+00:00,2025-10-21T20:43:54+00:00,2025-10-21T20:43:49+00:00,2025-10-21T20:43:53+00:00,4.168576,1.875517,1.327679,4.011301,,,,,2025-10-21T20:44:46+00:00
m15298_1,Zwischen 1912 und 1966 neu erbaute Gotteshäuser in Basel,12546aad0dd409152ab3c6795835d60d8faa8d37287233b1f72dd11a624858e8,"Karte mit eingezeichneten Gotteshäusern verschiedener Konfessionen in Basel, erbaut zwischen 1912 und 1966. Legende erklärt die Nummern und Farben.","Karte von Basel mit Standorten neuer Gotteshäuser zwischen 1912 und 1966; römisch-katholische (gelb), evangelisch-reformierte (blau) und israelitische (grün) Gotteshäuser, Liste mit Namen und Baujahr.",,"Karte zeigt die zwischen 1912 und 1966 neu errichteten Kirchen in Basel, einschließlich römisch-katholischer, evangelisch-reformierter und jüdischer Gotteshäuser. Jeder Standort ist nummeriert und farblich kodiert: römisch-katholisch in blau, evangelisch-reformiert in gelb und jüdisch in grün. Markiert sind 18 Gotteshäuser mit Baujahren, darunter die Heiliggeistkirche (1912) und die Antoniuskirche (1927).",stop,stop,,stop,2047,2170,2138,26243,38,58,0,116,2085,2228,2138,26359,0.0002199,0.00052844,0.0,0.00400605,Google,Fireworks,Hyperbolic,OpenAI,1761079352,1761079362,1761079356,1761079357,gen-1761079352-t3MhSpxYVw9bzVks1Fsv,gen-1761079362-CEurMQHfPoiLcyMxRs3E,gen-1761079356-vtLk3ovvYVde44OEovuN,gen-1761079357-MYq1U8G2tOpzijfkVfEr,2025-10-21T20:42:32+00:00,2025-10-21T20:42:42+00:00,2025-10-21T20:42:36+00:00,2025-10-21T20:42:37+00:00,2025-10-21T20:42:36+00:00,2025-10-21T20:42:44+00:00,2025-10-21T20:42:37+00:00,2025-10-21T20:42:42+00:00,3.730126,2.006835,0.747358,5.420705,,,,,2025-10-21T20:44:46+00:00
m22924,Federzeichnung eines zirkumpolaren Horizontalpanoramas der Stadt Basel,90c17b96b4d7ab90eaa72dcc5740bc41fee74f9af084383e864cb9ef54aebcdc,"Federzeichnung eines zirkumpolaren Horizontalpanoramas der Stadt Basel, 1787. Blick aus der Vogelperspektive über Dächer und eine Flusslandschaft.","Panorama von Basel und Umgebung, 1787, gezeichnet von Franz Feyerabend, kreisförmige Darstellung mit Schornstein in der Mitte, grau-weiß.","Zirkumpolares Horizontalpanorama der Stadt Basel, 1787. Zeichnung zeigt eine 360-Grad-Umsicht von einem Kamin des „Blauen Hauses“ aus. Zentrales Gebäude mit markanter Dachform, umgeben von Stadtlandschaft und Gebäuden.","Federzeichnung eines zirkumpolaren Horizontalpanoramas von Basel, erstellt 1787. 360-Grad-Umsicht vom Kamin des ‹Blauen Hauses› mit detaillierter Darstellung von Gebäuden und der Umgebung, in runder Komposition. Schwarz-weiße Töne dominieren, mit feinen Texturen und perspektivischen Elementen.",stop,stop,stop,stop,1879,2033,3601,26088,36,38,62,73,1915,2071,3663,26161,0.0002023,0.00058121,0.00054945,0.003957,Google,Together,Mistral,OpenAI,1761079413,1761079421,1761079416,1761079417,gen-1761079413-mg89d3PEXcn9kKRtKAJ6,gen-1761079421-L1P3GDvMjkARYGJZGGI2,gen-1761079415-3nVH5XPOUazTij3oPsxj,gen-1761079417-lwNzcgB17xoMwpCyum9w,2025-10-21T20:43:33+00:00,2025-10-21T20:43:41+00:00,2025-10-21T20:43:35+00:00,2025-10-21T20:43:37+00:00,2025-10-21T20:43:35+00:00,2025-10-21T20:43:43+00:00,2025-10-21T20:43:37+00:00,2025-10-21T20:43:41+00:00,2.714242,2.091185,1.583646,3.769563,,,,,2025-10-21T20:44:46+00:00
m28635,Landschaft bei Riehen-Ausserberg mit deren Bewohner:innen vor 48 000 Jahren,6e479615c0044bf9c932b2cb3a5d383ccb7d617ddca82670f810e57f400e0da6,"Neandertaler mit Kind auf den Schultern in einer eiszeitlichen Tierwelt mit Mammuten, Vögeln und einer Beute am Ufer eines Gewässers.","Rekonstruktion einer eiszeitlichen Landschaft mit Neandertaler beim Jagdzug auf Mammuts und Riesenhirsche, mäandrierender Rhein im Hintergrund.",,"Darstellung einer prähistorischen Landschaft bei Riehen-Ausserberg im Mittelpaläolithikum. Ein Neandertaler trägt ein Kind auf dem Rücken, während er mit einem Stock in der Hand die Umgebung beobachtet. Im Hintergrund sind Wildtiere und eine Gewässerlandschaft sichtbar, umgeben von Bäumen und Gestrüpp.",stop,stop,,stop,2415,1628,2047,26120,35,35,0,71,2450,1663,2047,26191,0.0002555,0.00027395,0.0,0.0039606,Google,Parasail,Hyperbolic,OpenAI,1761079444,1761079457,1761079446,1761079447,gen-1761079444-i52pD8lNkho3QGCnXv8Z,gen-1761079457-JYoXdjAYcMulV7nm046l,gen-1761079446-BakbRmN2n4Gi1UONi6xL,gen-1761079447-XrfphvagxedlrWH0ksjc,2025-10-21T20:44:04+00:00,2025-10-21T20:44:17+00:00,2025-10-21T20:44:06+00:00,2025-10-21T20:44:07+00:00,2025-10-21T20:44:06+00:00,2025-10-21T20:44:19+00:00,2025-10-21T20:44:07+00:00,2025-10-21T20:44:17+00:00,2.913504,1.863726,0.577237,9.758623,,,,,2025-10-21T20:44:46+00:00
m29084,Schematische Rekonstruktionszeichnungen frühmittelalterlicher Grabtypen,160f0846e1402b05a27977e9aab155eaa9e4c5c32a36b5f5e2ee150924607731,"Schematische Rekonstruktionen verschiedener frühmittelalterlicher Grabtypen: Steinplatten-, Mauer-, Kammer-, Brand- und Erdbestattungen.","Frühmittelalterliche Grabtypen: Steinplattengrab, Kammergebäude mit Beigaben, Brandgrab und einfache Erdbestattung.",,"Schematische Zeichnungen verschiedener frühmittelalterlicher Grabtypen, darunter Steinplatten-, Mauer- und Kammergräber. Oben dargestellt sind Hügel- und Brandgräber, unten einfache Erdbestattungen. Die Skizzen zeigen Aufsicht und Querschnitt.",stop,stop,,stop,1875,2041,2039,26113,29,34,0,60,1904,2075,2039,26173,0.0001991,0.00037587,0.0,0.00395295,Google,Novita,Hyperbolic,OpenAI,1761079459,1761079468,1761079461,1761079463,gen-1761079459-k1z8dpPuH0W91jLAtvR8,gen-1761079468-YAfplV6K2tVwXTH0M2x6,gen-1761079461-h4bvKZ9ALK2uN4ry66J5,gen-1761079462-Q2AYAtwp78QG03QD47ZA,2025-10-21T20:44:19+00:00,2025-10-21T20:44:28+00:00,2025-10-21T20:44:21+00:00,2025-10-21T20:44:22+00:00,2025-10-21T20:44:21+00:00,2025-10-21T20:44:30+00:00,2025-10-21T20:44:22+00:00,2025-10-21T20:44:28+00:00,2.29746,2.004723,0.482189,6.041153,,,,,2025-10-21T20:44:46+00:00
m34620,Ausgrabung im Chor der Peterskirche im Jahr 1962,4ac688bbf2b9927ec3c7859f3b75999fb4a905fa7b6e3a2c09a53c51c29b4a8c,"Ausgrabungsstätte des Chors der Peterskirche Basel: Fundamente aus verschiedenen Epochen, 1962.","Ausgrabung von Fundamenten in der Peterskirche: Rechteckchor, romanische Apsis und gotischer Rechteckchor.","Alt-Text: Archäologische Ausgrabung zeigt Fundamente verschiedener Epochen. Rechteckchor, romanische Apsis, gotischer Chor.","Ausgrabung im Chor der Peterskirche von 1962. Zu sehen sind die rechtwinklige Grundstruktur aus dem 9./10. Jh., romanische Fundamente mit halbrunder Apsis (10./11. Jh.) sowie gotische Elemente des Rechteckchors (13. Jh.). Das Bild zeigt unvollendete Mauern und Steinstrukturen in einem archäologischen Kontext.",stop,stop,stop,stop,1862,2029,2810,26087,27,29,32,84,1889,2058,2842,26171,0.000197,0.00057248,0.0004263,0.00396345,Google,Together,Mistral,OpenAI,1761079364,1761079373,1761079367,1761079369,gen-1761079364-MK13UHI19VfuQNefgpVf,gen-1761079373-IgG3SU0CozrLLB23y0lD,gen-1761079367-M9d2u3ppZrgkeOZW24Vx,gen-1761079369-1d4keFQ0vzyPOKwvCKhG,2025-10-21T20:42:44+00:00,2025-10-21T20:42:53+00:00,2025-10-21T20:42:47+00:00,2025-10-21T20:42:49+00:00,2025-10-21T20:42:47+00:00,2025-10-21T20:42:56+00:00,2025-10-21T20:42:49+00:00,2025-10-21T20:42:53+00:00,2.524897,2.71184,2.457442,4.25338,,,,,2025-10-21T20:44:46+00:00
m37030_1,"Wahlverfahren gemäss der ‹Handfeste›, um 1260",19d1b9dc21b358e95aa26b4805ca96497a6ff6de0669a1f623c27baeff89999c,Grafik zum mittelalterlichen Wahlverfahren: Ein alter Rat wählt durch ein Kieserkollegium einen neuen Rat.,"Farbiges Balkendiagramm mit Personen, die zwischen verschiedenfarbigen Gruppen wechseln, vermutlich Darstellung eines mittelalterlichen Wahlverfahrens.",,"Grafik zu den Wahlverfahren gemäß der ‹Handfeste› um 1260. Sie zeigt die Struktur des indirekten Wahlverfahrens mit einem temporären Kieserkollegium, das zwischen dem alten und neuen Rat vermittelt. Zu sehen sind verschiedene farbige Punkte, die die Abstimmenden im alten und neuen Rat repräsentieren. Das Kieserkollegium befindet sich in der Mitte und spielt eine entscheidende Rolle bei der Wahl.",stop,stop,,stop,2469,1380,2090,14830,24,30,0,92,2493,1410,2090,14922,0.0002565,0.0002325,0.0,0.0022797,Google,Parasail,Hyperbolic,OpenAI,1761079470,1761079476,1761079472,1761079473,gen-1761079470-lld3x1Boh29r5vZ8Hld2,gen-1761079476-HKTwgH5Pfa4gi7NH5XVS,gen-1761079472-GS2VZBUmMlJI5UBhBMWT,gen-1761079473-V80H2MIZTl80G5bCVc2G,2025-10-21T20:44:30+00:00,2025-10-21T20:44:36+00:00,2025-10-21T20:44:32+00:00,2025-10-21T20:44:33+00:00,2025-10-21T20:44:32+00:00,2025-10-21T20:44:38+00:00,2025-10-21T20:44:33+00:00,2025-10-21T20:44:36+00:00,1.973765,1.496456,0.535824,3.540018,,,,,2025-10-21T20:44:46+00:00
m37716,Reste der Inneren Stadtmauer,13e296d294bbc2c27aafcffdd57fc32dc6707c9bb7f91e95639c43846121a904,"Freigelegter Abschnitt der Inneren Stadtmauer Basel beim Bau eines Parkhauses. Sichtbar ist die massive Baustruktur in der Erde, ausgehoben von Archäologen.","Freigelegte Reste der Inneren Stadtmauer während Bauarbeiten, Arbeiter in Sicherheitskleidung an der Ausgrabungsstätte.",,"Reste der Inneren Stadtmauer, freigelegt beim Bau des Kunstmuseum-Parkings am St. Alban-Graben. Sichtbare mächtige Befestigungsmauer zur rechten Bildseite, mit Arbeitern in Schutzkleidung im Vordergrund. Baustellenumgebung mit angrenzendem modernen Gebäude und Baugeräten.",stop,stop,,stop,2359,1573,1994,26071,38,28,0,68,2397,1601,1994,26139,0.0002511,0.0003707,0.0,0.00395145,Google,Fireworks,Hyperbolic,OpenAI,1761079403,1761079411,1761079405,1761079407,gen-1761079403-dM0iIqNsv3ynCRMq2c3f,gen-1761079411-WoQ0J5YANnnfL8DRT0NC,gen-1761079405-SMVlFNoIUs2Gefdrv2Y0,gen-1761079406-10qShGsnULLkZBBbgJt3,2025-10-21T20:43:23+00:00,2025-10-21T20:43:31+00:00,2025-10-21T20:43:25+00:00,2025-10-21T20:43:26+00:00,2025-10-21T20:43:25+00:00,2025-10-21T20:43:33+00:00,2025-10-21T20:43:26+00:00,2025-10-21T20:43:31+00:00,2.431179,1.564518,0.521677,5.274392,,,,,2025-10-21T20:44:46+00:00
m39198_1,Textilhandel des Kaufmanns Ulrich Meltinger,b4f086b7c0c6bd41afcc74d20b9f0faea334495543c6c36ff5ef54292387be76,Diagramm des Textilhandels von Ulrich Meltinger mit regionalen und importierten Produkten zwischen 1468 und 1493.,"Handelsbeziehungen von Ulrich Meltinger: Textilhandel zwischen England, Flandern, Oberrheinregion und Schweiz, 1468-1493.",,"Karte des Textilhandels von Ulrich Meltinger, 1468/1493. Sie zeigt Handelswege zwischen verschiedenen Städten und Regionen, darunter Frankfurt a. M., Flandern und den Elsass, sowie Verbindungen zu Schäfern, Tuchmachern und Hutmachern.
",stop,stop,,stop,1892,2037,2025,26106,30,33,0,61,1922,2070,2025,26167,0.0002012,0.00037434,0.0,0.0039525,Google,Novita,Hyperbolic,OpenAI,1761079478,1761079483,1761079481,1761079481,gen-1761079478-X3nZ7YbUkzB6ygRzaGMu,gen-1761079483-LD4hbs6T5mXW2e3yySxK,gen-1761079480-2pY7rz0PD3Z5jODKkHPQ,gen-1761079481-lCoUjy5JgPjpLRflOXU7,2025-10-21T20:44:38+00:00,2025-10-21T20:44:43+00:00,2025-10-21T20:44:40+00:00,2025-10-21T20:44:41+00:00,2025-10-21T20:44:40+00:00,2025-10-21T20:44:45+00:00,2025-10-21T20:44:41+00:00,2025-10-21T20:44:43+00:00,2.422729,2.268022,0.730716,2.233344,,,,,2025-10-21T20:44:46+00:00
