objectid,title,prompt_sha256,google__gemini-2.5-flash-lite__content,meta-llama__llama-4-maverick__content,openai__gpt-4o-mini__content,qwen__qwen2.5-vl-72b-instruct__content,google__gemini-2.5-flash-lite__finish_reason,meta-llama__llama-4-maverick__finish_reason,openai__gpt-4o-mini__finish_reason,qwen__qwen2.5-vl-72b-instruct__finish_reason,google__gemini-2.5-flash-lite__usage_prompt_tokens,meta-llama__llama-4-maverick__usage_prompt_tokens,openai__gpt-4o-mini__usage_prompt_tokens,qwen__qwen2.5-vl-72b-instruct__usage_prompt_tokens,google__gemini-2.5-flash-lite__usage_completion_tokens,meta-llama__llama-4-maverick__usage_completion_tokens,openai__gpt-4o-mini__usage_completion_tokens,qwen__qwen2.5-vl-72b-instruct__usage_completion_tokens,google__gemini-2.5-flash-lite__usage_total_tokens,meta-llama__llama-4-maverick__usage_total_tokens,openai__gpt-4o-mini__usage_total_tokens,qwen__qwen2.5-vl-72b-instruct__usage_total_tokens,google__gemini-2.5-flash-lite__usage_cost,meta-llama__llama-4-maverick__usage_cost,openai__gpt-4o-mini__usage_cost,qwen__qwen2.5-vl-72b-instruct__usage_cost,google__gemini-2.5-flash-lite__provider,meta-llama__llama-4-maverick__provider,openai__gpt-4o-mini__provider,qwen__qwen2.5-vl-72b-instruct__provider,google__gemini-2.5-flash-lite__created,meta-llama__llama-4-maverick__created,openai__gpt-4o-mini__created,qwen__qwen2.5-vl-72b-instruct__created,google__gemini-2.5-flash-lite__id,meta-llama__llama-4-maverick__id,openai__gpt-4o-mini__id,qwen__qwen2.5-vl-72b-instruct__id,google__gemini-2.5-flash-lite__request_started_utc,meta-llama__llama-4-maverick__request_started_utc,openai__gpt-4o-mini__request_started_utc,qwen__qwen2.5-vl-72b-instruct__request_started_utc,google__gemini-2.5-flash-lite__request_ended_utc,meta-llama__llama-4-maverick__request_ended_utc,openai__gpt-4o-mini__request_ended_utc,qwen__qwen2.5-vl-72b-instruct__request_ended_utc,google__gemini-2.5-flash-lite__latency_seconds,meta-llama__llama-4-maverick__latency_seconds,openai__gpt-4o-mini__latency_seconds,qwen__qwen2.5-vl-72b-instruct__latency_seconds,google__gemini-2.5-flash-lite__error,meta-llama__llama-4-maverick__error,openai__gpt-4o-mini__error,qwen__qwen2.5-vl-72b-instruct__error,created_utc
m12965,"Kartoffelpflanze, Auszug aus einem Herbarium",ad2d9213c3d788888e6ee984ad364025faf0d34ac146c8bf439f595ced12c7de,"Getrocknete Kartoffelpflanze aus dem 17. Jahrhundert, vermutlich aus Caspar Bauhins Garten in Basel.","Getrocknete Kartoffelpflanze, braune Blätter und gelbliche Blüten, beschriftet ""Solanum tuberosum esculentum"", um 1600.","Kartoffelpflanze (Solanum tuberosum esculentum) aus Herbarium Caspar Bauhin, um 1600. Die Pflanze ist teilweise getrocknet, mit deutlich sichtbaren Blättern und Blüten. Die Blätter sind grünlich-braun, und einige kleine Früchte sind zu erkennen. Der Hintergrund ist beige.","Trockene Kartoffelpflanze mit braunen Blättern und Stängeln auf weißem Papier. Etikett mit lateinischem Namen und Maßstab. Historisches Herbarium, 17. Jahrhundert.",stop,stop,stop,stop,2464,1674,26171,1356,25,38,74,55,2489,1712,26245,1411,0.0002564,0.00040172,0.00397005,0.00038025,Google,Fireworks,OpenAI,Nebius,1761081091,1761081099,1761081095,1761081093,gen-1761081091-tDnHtdMfKoIQgBOphzy1,gen-1761081099-vXskoMsagb2o9RZsvgzC,gen-1761081095-wXTX7xPNx2NTO7XzUZN1,gen-1761081093-enC7QCosuY74SnIDd5Ka,2025-10-21T21:11:31+00:00,2025-10-21T21:11:39+00:00,2025-10-21T21:11:35+00:00,2025-10-21T21:11:33+00:00,2025-10-21T21:11:33+00:00,2025-10-21T21:11:40+00:00,2025-10-21T21:11:39+00:00,2025-10-21T21:11:35+00:00,2.557595,1.423971,3.141078,2.086901,,,,,2025-10-21T21:12:17+00:00
m13176,‹Fressender Narr› aus dem Stammbuch von Jacob Götz,9893a7ff65f4181096e8628da55012edfa5a369c88514c20816cfcd2ffb93652,"Stammbuchseite mit illustration eines Narren, der isst, und eines Schweins. 17. Jahrhundert.","Narr in roter Kutte isst vor einem Schwein, das aus einem Topf frisst; handkolorierte Federzeichnung mit begleitendem Gedicht.","Bild eines ‹fressenden Narren› aus Jacob Götz' Stammbuch. Abgebildet ist ein Mann in buntem Gewand mit einer Narrenkappe, der am Tisch sitzt und aus einem großen Gefäß isst. Neben ihm befindet sich ein Schwein. Das Bild thematisiert Exzesse, die während Badeausflügen vorkommen, und wird im dazugehörigen Gedicht ironisch verurteilt.","Narr mit rotem Hut isst üppig, Schwein neben ihm. Stammbuchseite mit mittelalterlicher Schrift. Ironisiert Exzesse bei Badeausflügen.",stop,stop,stop,stop,2375,1585,26086,1309,26,36,89,41,2401,1621,26175,1350,0.0002479,0.00038038,0.0039663,0.000358,Google,Fireworks,OpenAI,Nebius,1761081079,1761081089,1761081085,1761081083,gen-1761081079-DC1qJN6MBP92R7Pxtcuv,gen-1761081089-e0p8qb54bR9hvICHe3W6,gen-1761081085-zqqmX0stzbsiwOb0vU5H,gen-1761081082-YBOF5TAN1eZqUSQkCXI0,2025-10-21T21:11:19+00:00,2025-10-21T21:11:29+00:00,2025-10-21T21:11:25+00:00,2025-10-21T21:11:22+00:00,2025-10-21T21:11:22+00:00,2025-10-21T21:11:30+00:00,2025-10-21T21:11:29+00:00,2025-10-21T21:11:25+00:00,3.264842,1.502712,3.633991,3.012475,,,,,2025-10-21T21:12:17+00:00
m15298_1,Zwischen 1912 und 1966 neu erbaute Gotteshäuser in Basel,12546aad0dd409152ab3c6795835d60d8faa8d37287233b1f72dd11a624858e8,"Karte zeigt neu erbaute Gotteshäuser in Basel zwischen 1912 und 1966, kategorisiert nach Konfession (römisch-katholisch, evangelisch-reformiert, jüdisch).","Karte von Basel mit 18 markierten Gotteshäusern, erbaut zwischen 1912 und 1966; römisch-katholisch (gelb), evangelisch-reformiert (blau), jüdisch (grün). Legende mit Namen und Baujahr.","Karte mit neuen Gotteshäusern in Basel (1912-1966). Gezeigt sind evangelisch-reformierte, römisch-katholische und jüdische Religionsstätten. Farbcodierte Punkte kennzeichnen die jeweiligen Konfessionen. Wichtige Bauten wie die Heiliggeistkirche (1912) und die Antoniuskirche (1927) sowie deren Baujahre sind vermerkt, jedoch keine älteren Gotteshäuser.","Karte von Basel mit markierten Standorten neuer Gotteshäuser zwischen 1912 und 1966. Gelb: römisch-katholisch, Blau: evangelisch-reformiert, Grün: jüdisch. Nummern verweisen auf Legende mit Kirchennamen und Baujahren.",stop,stop,stop,stop,2047,2170,26243,1717,44,58,100,77,2091,2228,26343,1794,0.0002223,0.00052844,0.00399645,0.000487,Google,Fireworks,OpenAI,Nebius,1761080985,1761081010,1761080990,1761080987,gen-1761080985-pfmSy93FFgpcDjV2Npnq,gen-1761081010-04Sp1tyDMhpdWgV7Svjl,gen-1761080990-GnjHeWNmAGDPvxY5H0oh,gen-1761080987-MXGwO7f2D9OgJWot82Bu,2025-10-21T21:09:45+00:00,2025-10-21T21:10:10+00:00,2025-10-21T21:09:50+00:00,2025-10-21T21:09:47+00:00,2025-10-21T21:09:47+00:00,2025-10-21T21:10:13+00:00,2025-10-21T21:10:10+00:00,2025-10-21T21:09:50+00:00,2.530981,2.926869,19.230728,3.047038,,,,,2025-10-21T21:12:17+00:00
m22924,Federzeichnung eines zirkumpolaren Horizontalpanoramas der Stadt Basel,90c17b96b4d7ab90eaa72dcc5740bc41fee74f9af084383e864cb9ef54aebcdc,"Federzeichnung eines zirkumpolaren Panoramas von Basel, 1787, mit Blick von einem Kamin auf die Stadt und ihre Umgebung.","Panoramaansicht von Basel und Umgebung in Kreisform, 1787, vom ""Blauen Haus"" aus aufgenommen. Zentraler schwarzer Kamin, darum Häuser und Umgebung in Schwarz-Weiß, mit roter Gradeinteilung am Rand.","Federzeichnung eines zirkumpolaren Horizontalpanoramas von Basel. 360-Grad-Umsicht aus der Perspektive eines Kamins, zeigt Stadt und Umgebung mit architektonischen Details. Schwarz-Weiß-Darstellung ohne Datierungsangabe.","Federzeichnung von Basel in 360-Grad-Panorama, 1787. Ansicht vom Blauen Haus, detaillierte Darstellung von Gebäuden und Landschaft.",stop,stop,stop,stop,1879,2033,26088,1666,32,51,53,44,1911,2084,26141,1710,0.0002007,0.00059226,0.003945,0.0004495,Google,Together,OpenAI,Nebius,1761081068,1761081077,1761081072,1761081071,gen-1761081068-qwnwWK74S0IhbcNcfmZm,gen-1761081076-FwLADi6V2uujvPbry39Z,gen-1761081072-3LBnNLu4UMbPd7h4waZw,gen-1761081071-ddeiYKAocVZPdliWX5v8,2025-10-21T21:11:08+00:00,2025-10-21T21:11:16+00:00,2025-10-21T21:11:12+00:00,2025-10-21T21:11:10+00:00,2025-10-21T21:11:10+00:00,2025-10-21T21:11:19+00:00,2025-10-21T21:11:16+00:00,2025-10-21T21:11:12+00:00,2.708805,2.965691,3.422686,1.784386,,,,,2025-10-21T21:12:17+00:00
m28635,Landschaft bei Riehen-Ausserberg mit deren Bewohner:innen vor 48 000 Jahren,6e479615c0044bf9c932b2cb3a5d383ccb7d617ddca82670f810e57f400e0da6,"Neandertaler-Mann mit Kind auf den Schultern und Stock in der Hand blickt über eine Landschaft mit Mammuten, Hirschen und Raubvögeln.","Neandertaler mit Kind auf den Schultern, in der Hand einen Speer, vor einer Landschaft mit Tümpel, Wildtieren und Vögeln.","Landschaft im Mittelpaläolithikum mit einem Neandertaler und einem Kind auf seinem Rücken. Im Hintergrund sind Wildtiere und eine Wasserstelle zu sehen, umgeben von einer bewaldeten Landschaft. Der Himmel ist teils bewölkt, mit fliegenden Vögeln. ","Neandertaler mit Kind auf Schultern, bewaffnet mit Speer, in einer grünen Landschaft mit Höhlenhyänen, Mammuts und Vögeln. Szenario aus dem Mittelpaläolithikum vor 48.000 Jahren.",stop,stop,stop,stop,2415,1617,26120,1329,36,36,62,62,2451,1653,26182,1391,0.0002559,0.00038742,0.0039552,0.00037875,Google,Fireworks,OpenAI,Nebius,1761081100,1761081109,1761081106,1761081104,gen-1761081100-B5NHJF4iA9sjpEIC2EoM,gen-1761081109-pnKYfKfmlBKiaDZo0zoa,gen-1761081106-o083OjywqayT7SOMCB3w,gen-1761081103-bwjjMjeRlFTEV49yoIXu,2025-10-21T21:11:40+00:00,2025-10-21T21:11:49+00:00,2025-10-21T21:11:46+00:00,2025-10-21T21:11:43+00:00,2025-10-21T21:11:43+00:00,2025-10-21T21:11:51+00:00,2025-10-21T21:11:49+00:00,2025-10-21T21:11:46+00:00,2.701244,1.694644,3.471794,3.091377,,,,,2025-10-21T21:12:17+00:00
m29084,Schematische Rekonstruktionszeichnungen frühmittelalterlicher Grabtypen,160f0846e1402b05a27977e9aab155eaa9e4c5c32a36b5f5e2ee150924607731,"Schematische Zeichnungen von frühmittelalterlichen Grabtypen: Steinplatten-, Mauer-, Kammer-, Brand- und Erdbestattungen.","Frühmittelalterliche Grabtypen: Steinplattengrab, Mauergräber, Kammergrab, Brandgrab und einfache Erdbestattung mit schematischen Skelettdarstellungen und Querschnitten.","Schematische Zeichnungen verschiedener frühmittelalterlicher Grabtypen aus Basel. Oben: Steinplatten-, Mauer- und Kammergräber (Aufsicht und Querschnitt). Unten: Brandgräber und einfache Erdbestattungen (Aufsicht). Illustrationen zeigen unterschiedliche Grabstrukturen und Bestattungsarten.","Schematische Darstellung frühmittelalterlicher Grabtypen: Steinplatten-, Mauer- und Kammergräber in Aufsicht und Frontalansicht, teilweise mit Hügeln bedeckt, sowie Brandgräber und einfache Erdbestattungen.",stop,stop,stop,stop,1875,2053,26113,1507,28,44,69,61,1903,2097,26182,1568,0.0001987,0.00059171,0.00395835,0.0004225,Google,Together,OpenAI,Nebius,1761081111,1761081119,1761081116,1761081114,gen-1761081111-Zt127AMKB061UTqLCvS3,gen-1761081119-OsifgJJM5YIdNASZEpKx,gen-1761081116-Jy71IZjuYgWswYjWCNPu,gen-1761081114-4TD2ZSCbAceMGIQIzIzJ,2025-10-21T21:11:51+00:00,2025-10-21T21:11:59+00:00,2025-10-21T21:11:56+00:00,2025-10-21T21:11:54+00:00,2025-10-21T21:11:54+00:00,2025-10-21T21:12:01+00:00,2025-10-21T21:11:59+00:00,2025-10-21T21:11:56+00:00,2.481938,1.889573,3.253499,2.295062,,,,,2025-10-21T21:12:17+00:00
m34620,Ausgrabung im Chor der Peterskirche im Jahr 1962,4ac688bbf2b9927ec3c7859f3b75999fb4a905fa7b6e3a2c09a53c51c29b4a8c,Ausgrabung im Chor der Peterskirche 1962: Freilegung von Fundamenten dreier Bauphasen (9.-13. Jh.).,"Freigelegte Fundamente verschiedener Bauphasen der Peterskirche: Rechteckchor (9./10. Jh.), halbrunde Apsis (10./11. Jh.), gotischer Rechteckchor (13. Jh.).","Rechteckiger Chor mit romanischen Fundamenten und halbrunder Apsis, ausgegraben 1962. Mauerwerk aus dem 10./11. und 13. Jahrhundert sichtbar. Zustand: unvollständig, mit sichtbaren Steinen und Abständen.","Fundamente verschiedener Bauphasen der Peterskirche: rechteckiger Gründungschor (9./10. Jh.), halbrunde romanische Apsis (10./11. Jh.) und gotischer Rechteckchor (13. Jh.).",stop,stop,stop,stop,1862,2017,26087,1396,33,48,56,63,1895,2065,26143,1459,0.0001994,0.00048598,0.00394665,0.00039625,Google,Fireworks,OpenAI,Nebius,1761081013,1761081022,1761081017,1761081015,gen-1761081013-jm6pannXrXE4CQJBUImn,gen-1761081022-l9K7Jhh3RWg5QEffQ6iT,gen-1761081017-op9aFA8OPdNTmtzSJvOX,gen-1761081015-NE54W5Up43bG9j0QEVKi,2025-10-21T21:10:13+00:00,2025-10-21T21:10:21+00:00,2025-10-21T21:10:17+00:00,2025-10-21T21:10:15+00:00,2025-10-21T21:10:15+00:00,2025-10-21T21:10:25+00:00,2025-10-21T21:10:21+00:00,2025-10-21T21:10:17+00:00,1.909363,3.527437,4.054473,2.357336,,,,,2025-10-21T21:12:17+00:00
m37030_1,"Wahlverfahren gemäss der ‹Handfeste›, um 1260",19d1b9dc21b358e95aa26b4805ca96497a6ff6de0669a1f623c27baeff89999c,Diagramm des indirekten Wahlverfahrens mit Kieserkollegium in Basel um 1260.,"Schema eines mittelalterlichen Wahlverfahrens: Alter Rat wählt Kieserkollegium, dieses wählt neuen Rat. Drei Gruppen mit farbigen Punkten symbolisieren Zusammensetzung.","Diagramm des indirekten Wahlverfahrens gemäß der ‹Handfeste› um 1260. Es zeigt die Struktur der Wahlbehörde (Kieserkollegium) zwischen dem alten und neuen Rat, illustriert mit farbigen Punkten zur Darstellung der Wählergruppen und der Wahlprozesse. Veranschaulicht wird die zeitlich beschränkte Unabhängigkeit der Wahlbehörde zur Einigung auf Kandidaten.","Diagramm zur mittelalterlichen Wahlprozedur: Alter Rat wählt Kieserkollegium, das neuen Rat wählt. Blaue, gelbe und grüne Kreise symbolisieren Mitglieder.",stop,stop,stop,stop,2469,1422,14830,1082,24,37,90,48,2493,1459,14920,1130,0.0002565,0.00054025,0.0022785,0.0003065,Google,Google,OpenAI,Nebius,1761081121,1761081127,1761081125,1761081123,gen-1761081121-oITxOFjaFRHaAxi6zC23,gen-1761081127-t5r9orBqjKyOtWF0hKAT,gen-1761081125-4G0ih5QpnBlGA0jVJvJk,gen-1761081123-bcNiWpZdG1Onev1RYKvG,2025-10-21T21:12:01+00:00,2025-10-21T21:12:07+00:00,2025-10-21T21:12:05+00:00,2025-10-21T21:12:03+00:00,2025-10-21T21:12:03+00:00,2025-10-21T21:12:09+00:00,2025-10-21T21:12:07+00:00,2025-10-21T21:12:05+00:00,1.769877,2.0081,2.762572,1.842351,,,,,2025-10-21T21:12:17+00:00
m37716,Reste der Inneren Stadtmauer,13e296d294bbc2c27aafcffdd57fc32dc6707c9bb7f91e95639c43846121a904,Freilegte Fundamente der Inneren Stadtmauer von Basel mit Ausgrabungsarbeiten. Die massive Steinmauer zeigt die einstige Befestigungsanlage.,Freigelegte historische Stadtmauer während der Bauarbeiten neben einem modernen Glasgebäude. Arbeiter in Sicherheitskleidung untersuchen die Mauer.,"Längere Strecke der Inneren Stadtmauer, freigelegt beim Bau des Kunstmuseum-Parkings. Sichtbar sind die steinernen Reste des städtischen Befestigungsrings. Im Vordergrund arbeiten zwei Personen in Sicherheitskleidung. Hintergrund zeigt moderne Architektur und Baugeräte.","Längere Stadtmauerreste bei Bauarbeiten im städtischen Bauprojekt, Archäologen in Schutzkleidung untersuchen Fundament.",stop,stop,stop,stop,2359,1583,26071,1255,30,28,60,37,2389,1611,26131,1292,0.0002479,0.0003334,0.00394665,0.001041,Google,Groq,OpenAI,Parasail,1761081059,1761081067,1761081064,1761081062,gen-1761081059-wKFTyIoMUum0H18tLkqp,gen-1761081067-KmU8MhqagDZ40qzzyRnz,gen-1761081064-mcpl490qtGgnbL47CK4W,gen-1761081062-C1XDevgHwpGpqlqRD7vo,2025-10-21T21:10:59+00:00,2025-10-21T21:11:07+00:00,2025-10-21T21:11:04+00:00,2025-10-21T21:11:02+00:00,2025-10-21T21:11:02+00:00,2025-10-21T21:11:08+00:00,2025-10-21T21:11:07+00:00,2025-10-21T21:11:04+00:00,2.336454,0.687003,3.371304,2.066315,,,,,2025-10-21T21:12:17+00:00
m39198_1,Textilhandel des Kaufmanns Ulrich Meltinger,b4f086b7c0c6bd41afcc74d20b9f0faea334495543c6c36ff5ef54292387be76,Flussdiagramm des Textilhandels von Ulrich Meltinger (1468/1493) mit Bezugsquellen und Abnehmern in Europa.,"Diagramm zum Textilhandel von Ulrich Meltinger. Blau: Import, gelb: Export. Regionen und Orte: England, Flandern, Frankfurt, Elsass, Colmar, Mülhausen, Pforzheim, Freiburg, Solothurn, Kleinbasel, Zürich, Glarus, Freiburg im Üechtland. Hauptakteure: Tuchmacher, Hutmacher, Kaufleute.","Karte des Textilhandels von Ulrich Meltinger. Verbindungen zwischen verschiedenen Handelsstandorten in der Oberrheinregion und darüber hinaus. Zentral angeordnet: Ulrich Meltinger. Pfeile zeigen Handelsrouten zu Schäfern, Hutmachern und Tuchmachern in verschiedenen Städten, darunter Frankfurt am Main, Colmar und Zürich.","Handelsnetzwerk von Ulrich Meltinger: Pfeile verbinden Frankfurt, Schäfer, Hutmacher und Tuchmacher in verschiedenen Regionen wie Elsass, Colmar und Freiburg mit Solothurn, Zürich und Glarus. Blaue und gelbe Linien zeigen Handelsbeziehungen.",stop,stop,stop,stop,1892,2050,26106,1405,34,86,72,75,1926,2136,26178,1480,0.0002028,0.0004616,0.0039591,0.0004075,Google,Groq,OpenAI,Nebius,1761081129,1761081137,1761081134,1761081132,gen-1761081129-V516ATTmCPGLWBrL04oy,gen-1761081137-D7YgaKovLYLgm9Fzs8Nl,gen-1761081134-n3zSHg0nVXw3umsDp8Sh,gen-1761081132-DkPAGrhLZlb4ZWS4dhD3,2025-10-21T21:12:09+00:00,2025-10-21T21:12:17+00:00,2025-10-21T21:12:14+00:00,2025-10-21T21:12:12+00:00,2025-10-21T21:12:12+00:00,2025-10-21T21:12:17+00:00,2025-10-21T21:12:17+00:00,2025-10-21T21:12:14+00:00,2.42068,0.657303,2.293999,2.600655,,,,,2025-10-21T21:12:17+00:00
