objectid,title,prompt_sha256,model,provider,created,id,request_started_utc,request_ended_utc,latency_seconds,finish_reason,content,usage_prompt_tokens,usage_completion_tokens,usage_total_tokens,usage_cost,error
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,google/gemini-2.5-flash-lite,Google,1761081557,gen-1761081557-AoXhk37LNTJcS8IrKk8l,2025-10-21T21:19:16+00:00,2025-10-21T21:19:20+00:00,3.492783,stop,Karte zeigt Korrespondenznetzwerk der Firma Forcart-Weis & Burckhardt-Wildt (1865–1894) mit Verbindungen weltweit.,2467,36,2503,0.0002611,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,qwen/qwen3-vl-8b-instruct,Novita,1761081560,gen-1761081560-luNtLyLPFOnjlat9eE8E,2025-10-21T21:19:20+00:00,2025-10-21T21:19:22+00:00,2.480667,stop,"Netzwerkdiagramm der Korrespondenz der Firma Forcart-Weis & Burckhardt-Wildt (1865–1894). Basel als Zentrum mit Verbindungen zu Europa, Nordamerika und Südamerika.",1232,57,1289,0.00012706,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,openai/gpt-4o-mini,OpenAI,1761081563,gen-1761081562-g0tFbktMHZUdBClra8H7,2025-10-21T21:19:22+00:00,2025-10-21T21:19:25+00:00,3.089373,stop,"Karte zeigt die wichtigen Korrespondenzorte an die Firma Forcart-Weis & Burckhardt-Wildt zwischen 1865 und 1894. Das Netzwerk erstreckt sich über Länder weltweit, veranschaulicht durch Linien zwischen verschiedenen Städten, darunter Basel, Zürich, London und New York.",26149,65,26214,0.00387495,
m91000_1,"Geschäftskorrespondenz der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894",622b6fad9782dc9cbad0070c8c027ec106b0acebaacbdf6c66a3adebe579743f,meta-llama/llama-4-maverick,Parasail,1761081566,gen-1761081566-eSLzEV2AR4GdRGv5YYcZ,2025-10-21T21:19:25+00:00,2025-10-21T21:19:28+00:00,2.657403,stop,"Weltkarte mit Linien, die Korrespondenzorte der Firma Forcart-Weis & Burckhardt-Wildt, 1865–1894, verbinden. Europa, Nordamerika, Indien und Südostasien sind vernetzt.",1660,51,1711,0.00029235,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,google/gemini-2.5-flash-lite,Google,1761081569,gen-1761081569-dPTimdMiOf2JkBZJ1FMv,2025-10-21T21:19:28+00:00,2025-10-21T21:19:31+00:00,2.522894,stop,"Splittersplitter einer Bombe, 1815, mit einem Stück Kette und Aufhängehaken.",2399,23,2422,0.0002491,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,qwen/qwen3-vl-8b-instruct,DeepInfra,1761081571,gen-1761081571-LD6OV073n9ZXW4QBnzgB,2025-10-21T21:19:31+00:00,2025-10-21T21:19:33+00:00,2.265772,stop,"Splitter einer militärischen Granate, 1815. Eisenstück mit Kette und Ring, vermutlich aus der Festung Hüningen. Rostige Oberfläche, rote Markierung.",1201,46,1247,0.00024792,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,openai/gpt-4o-mini,OpenAI,1761081573,gen-1761081573-Kx4gjtRjkqLiDyFFxN2L,2025-10-21T21:19:33+00:00,2025-10-21T21:19:35+00:00,2.03936,stop,"Splitter einer Bombe aus der Festung Hüningen, 1815. Eisenstück mit Kette, leicht abgerundet. Erinnert an historische militärische Nutzung während der Kampfhandlungen in Basel und Umgebung.",26101,43,26144,0.00394095,
m94271,"Splitter einer Bombe aus der Festung Hüningen, 1815",9301237bab3ff7f9217ad71446d82af02cad9eef90a8dbde1df6b5d231229b6b,meta-llama/llama-4-maverick,Groq,1761081575,gen-1761081575-KIaqOSd3rRolYav3nF9d,2025-10-21T21:19:35+00:00,2025-10-21T21:19:36+00:00,1.101726,stop,"Eiserner Bombensplitter mit Kette, rotes Inventarzeichen auf einer Seite, 1815.",1610,25,1635,0.000337,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,google/gemini-2.5-flash-lite,Google,1761081576,gen-1761081576-j463ccRtaQyCbJPgKlOs,2025-10-21T21:19:36+00:00,2025-10-21T21:19:39+00:00,2.273661,stop,"Abbruch des mittelalterlichen St. Johanns-Schwibbogens durch Arbeiter in Basel, 1874. Steinhaufen und ein beladener Karren im Vordergrund.",1963,38,2001,0.0002115,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,qwen/qwen3-vl-8b-instruct,Alibaba,1761081579,gen-1761081579-TaegBy8nrwpgSXgSf9MH,2025-10-21T21:19:39+00:00,2025-10-21T21:19:40+00:00,1.656172,stop,"Abbruch des St. Johanns-Schwibbogens im 19. Jahrhundert. Steinbogen mit Bruchstücken und Arbeitern; Umgebung städtisch, Gebäude an beiden Seiten.",2075,39,2114,0.0004008,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,openai/gpt-4o-mini,OpenAI,1761081580,gen-1761081580-XTt06Ge2VIuMInvzQtaE,2025-10-21T21:19:40+00:00,2025-10-21T21:19:44+00:00,3.822232,stop,"Abbruch des St. Johann-Schwibbogens, 1874. Senkender Bogen zwischen zwei Gebäuden, umgeben von umgestürzten Steinen. Arbeiter verwenden einen Karren zur Entfernung von Trümmern, während weitere Personen auf dem Abbruch stehen.",26175,58,26233,0.00396105,
m95804,Abbruch des St. Johanns­-Schwibbogens,d3515370015ba6c27ff59c1acbfbd7474d065d74beb18e700cb961b39344c28a,meta-llama/llama-4-maverick,Google,1761081584,gen-1761081584-k3KQiT5JFeA8UJN07uPO,2025-10-21T21:19:44+00:00,2025-10-21T21:19:46+00:00,2.327811,stop,"Abbruch des St. Johanns-Schwibbogens, Arbeiter auf dem teilweise abgerissenen Torbogen, Schutt und Karre auf der Strasse.",2114,34,2148,0.000779,
m94775,"‹Merkwürdige Seltenheit›, Illustration zu einer Anzeige in den ‹Wöchentlichen Nach­richten › vom 30. Oktober 1834",5da1631f2f991f5fb770321671070e0d41e7cc2a534cb219fed1f4b926b34085,google/gemini-2.5-flash-lite,Google,1761081587,gen-1761081587-GonSR41fbrEzBXhfSHXn,2025-10-21T21:19:47+00:00,2025-10-21T21:19:50+00:00,3.160459,stop,Mann in afrikanischer Kleidung mit Speeren und Bogen. Illustration für eine Zeitungsannonce über einen Ausstellungsgegenstand.,1895,25,1920,0.0001995,
