objectid,title,prompt_sha256,google__gemini-2.5-flash-lite__content,meta-llama__llama-4-maverick__content,openai__gpt-4o-mini__content,qwen__qwen3-vl-8b-instruct__content,google__gemini-2.5-flash-lite__finish_reason,meta-llama__llama-4-maverick__finish_reason,openai__gpt-4o-mini__finish_reason,qwen__qwen3-vl-8b-instruct__finish_reason,google__gemini-2.5-flash-lite__usage_prompt_tokens,meta-llama__llama-4-maverick__usage_prompt_tokens,openai__gpt-4o-mini__usage_prompt_tokens,qwen__qwen3-vl-8b-instruct__usage_prompt_tokens,google__gemini-2.5-flash-lite__usage_completion_tokens,meta-llama__llama-4-maverick__usage_completion_tokens,openai__gpt-4o-mini__usage_completion_tokens,qwen__qwen3-vl-8b-instruct__usage_completion_tokens,google__gemini-2.5-flash-lite__usage_total_tokens,meta-llama__llama-4-maverick__usage_total_tokens,openai__gpt-4o-mini__usage_total_tokens,qwen__qwen3-vl-8b-instruct__usage_total_tokens,google__gemini-2.5-flash-lite__usage_cost,meta-llama__llama-4-maverick__usage_cost,openai__gpt-4o-mini__usage_cost,qwen__qwen3-vl-8b-instruct__usage_cost,google__gemini-2.5-flash-lite__provider,meta-llama__llama-4-maverick__provider,openai__gpt-4o-mini__provider,qwen__qwen3-vl-8b-instruct__provider,google__gemini-2.5-flash-lite__created,meta-llama__llama-4-maverick__created,openai__gpt-4o-mini__created,qwen__qwen3-vl-8b-instruct__created,google__gemini-2.5-flash-lite__id,meta-llama__llama-4-maverick__id,openai__gpt-4o-mini__id,qwen__qwen3-vl-8b-instruct__id,google__gemini-2.5-flash-lite__request_started_utc,meta-llama__llama-4-maverick__request_started_utc,openai__gpt-4o-mini__request_started_utc,qwen__qwen3-vl-8b-instruct__request_started_utc,google__gemini-2.5-flash-lite__request_ended_utc,meta-llama__llama-4-maverick__request_ended_utc,openai__gpt-4o-mini__request_ended_utc,qwen__qwen3-vl-8b-instruct__request_ended_utc,google__gemini-2.5-flash-lite__latency_seconds,meta-llama__llama-4-maverick__latency_seconds,openai__gpt-4o-mini__latency_seconds,qwen__qwen3-vl-8b-instruct__latency_seconds,google__gemini-2.5-flash-lite__error,meta-llama__llama-4-maverick__error,openai__gpt-4o-mini__error,qwen__qwen3-vl-8b-instruct__error,created_utc
m12965,"Kartoffelpflanze, Auszug aus einem Herbarium",ad2d9213c3d788888e6ee984ad364025faf0d34ac146c8bf439f595ced12c7de,"Getrocknete Kartoffelpflanze (Solanum tuberosum) aus dem Herbarium von Caspar Bauhin, um 1600.","Getrocknete Blätter und Stiele der Kartoffelpflanze, teils überlappend angeordnet, auf beige-bräunlichem Hintergrund.",Kartoffelpflanze (Solanum tuberosum esculentum) aus dem Herbarium von Caspar Bauhin. Getrocknete Pflanze mit grünen Blättern und gelben Blütenresten auf beigem Untergrund. Notizen und Beschriftungen am unteren Rand. Datierung etwa 1600.,"Trockenpräparat der Kartoffelpflanze (Solanum tuberosum), um 1600. Blätter und Blüten auf Pergament, handschriftliche Beschriftung. Vermutlich ältester erhaltener Beleg.",stop,stop,stop,stop,2464,1685,26171,1230,30,30,67,59,2494,1715,26238,1289,0.0002584,0.00027825,0.00386985,0.0001279,Google,Parasail,OpenAI,Novita,1761081718,1761081727,1761081724,1761081721,gen-1761081718-p83FASKAepQri1YAeb8O,gen-1761081727-qnubBkWeYDvCQTnoMRP6,gen-1761081723-lWNK5i1iWO2ykxd8VO4b,gen-1761081721-9XUz8IknQTsoyorhbjaB,2025-10-21T21:21:58+00:00,2025-10-21T21:22:07+00:00,2025-10-21T21:22:03+00:00,2025-10-21T21:22:01+00:00,2025-10-21T21:22:01+00:00,2025-10-21T21:22:08+00:00,2025-10-21T21:22:07+00:00,2025-10-21T21:22:03+00:00,2.810516,1.422328,3.930597,1.70831,,,,,2025-10-21T21:22:48+00:00
m13176,‹Fressender Narr› aus dem Stammbuch von Jacob Götz,9893a7ff65f4181096e8628da55012edfa5a369c88514c20816cfcd2ffb93652,"Ein Narr in Renaissance-Kleidung sitzt und isst, während ein Schwein daneben frisst. Handschrift und Illustration stammen aus dem 17. Jahrhundert.","Narr mit roter Kappe isst vor einem Schwein, das aus einem Napf frisst. Gefäße und Brote stehen auf einem Tisch daneben. Handkolorierte Federzeichnung mit beidseitigem Text in Fraktur.","Ein Szenenbild aus einem Stammbuch zeigt einen als Narren gekleideten Mann, der in jovialer Pose auf einem Platz sitzt und ein großes Stück Fleisch hält. Um ihn herum sind verschiedene Esswaren und ein Schwein, das an einem Essensrest schnüffelt. Über dem Mann und der Szene steht ein Text, der ironisch auf Exzesse beim Essen und Trinken hinweist. Die Farbgebung ist lebhaft, die Darstellung humorvoll und lehrreich.","Fressender Narr in roter Narrenmütze, sitzend, Bierkrug haltend, neben Schwein und Tisch mit Speisen. Stammbuchillustration aus dem 17. Jh. mit handschriftlichem Gedicht über Badenfahrt-Exzesse.",stop,stop,stop,stop,2375,1595,26086,1175,34,53,100,66,2409,1648,26186,1241,0.0002511,0.0003508,0.0039729,0.000127,Google,Groq,OpenAI,Novita,1761081705,1761081717,1761081712,1761081709,gen-1761081705-ZWPd3zIodohaxL5lq1Ef,gen-1761081717-ywYhXRT6a2JiFXO98Fs0,gen-1761081712-pXVtM7tAkRRiXHkZydXf,gen-1761081709-80EWPp4PZ1oL5mUBqXKa,2025-10-21T21:21:45+00:00,2025-10-21T21:21:57+00:00,2025-10-21T21:21:52+00:00,2025-10-21T21:21:49+00:00,2025-10-21T21:21:49+00:00,2025-10-21T21:21:58+00:00,2025-10-21T21:21:57+00:00,2025-10-21T21:21:52+00:00,3.680263,1.197396,4.575916,3.476833,,,,,2025-10-21T21:22:48+00:00
m15298_1,Zwischen 1912 und 1966 neu erbaute Gotteshäuser in Basel,12546aad0dd409152ab3c6795835d60d8faa8d37287233b1f72dd11a624858e8,"Basler Karte mit neu erbauten Gotteshäusern (1912–1966), katholisch, reformiert und jüdisch.",Karte von Basel mit Markierungen für neu erbaute Gotteshäuser zwischen 1912 und 1966; farblich unterschieden nach Religionsgemeinschaft.,"Karte der zwischen 1912 und 1966 neu erbauten Gotteshäuser in Basel. Markierungen zeigen die Standorte römisch-katholischer (blau) und evangelisch-reformierter (gelb) Kirchen sowie der jüdischen Synagoge (grün). Die Karte umfasst verschiedene Kirchen, die zwischen 1912 und 1966 errichtet wurden.","Karte von Basel mit 18 neu erbauten Gotteshäusern (1912–1966), farbcodiert nach Konfession: römisch-katholisch (gelb), evangelisch-reformiert (blau), jüdisch (grün). Jeder Punkt mit Nummer und Name, inkl. Baujahr.",stop,stop,stop,stop,2047,2184,26243,1505,30,33,80,81,2077,2217,26323,1586,0.0002167,0.00035565,0.00388845,0.0001609,Google,Parasail,OpenAI,Novita,1761081623,1761081634,1761081630,1761081626,gen-1761081623-T2WpArrL08jnzyciFFBZ,gen-1761081634-wU2HMo086hE4OtJk1Lhs,gen-1761081630-6OL0BE4slx72pIcISOZs,gen-1761081626-n9ZOpLJBOkkLcDs61lPO,2025-10-21T21:20:23+00:00,2025-10-21T21:20:34+00:00,2025-10-21T21:20:29+00:00,2025-10-21T21:20:26+00:00,2025-10-21T21:20:26+00:00,2025-10-21T21:20:36+00:00,2025-10-21T21:20:34+00:00,2025-10-21T21:20:29+00:00,2.807602,1.836217,4.820899,3.676393,,,,,2025-10-21T21:22:48+00:00
m22924,Federzeichnung eines zirkumpolaren Horizontalpanoramas der Stadt Basel,90c17b96b4d7ab90eaa72dcc5740bc41fee74f9af084383e864cb9ef54aebcdc,"Federzeichnung eines zirkumpolaren Horizontalpanoramas der Stadt Basel von 1787, mit Aussicht von einem Kamin.","Panorama von Basel, 1787, Federzeichnung von Franz Feyerabend, Vogelperspektive, Häuser, Kamin des 'Blauen Hauses' in der Bildmitte","Federzeichnung eines zirkumpolaren Horizontalpanoramas der Stadt Basel aus dem Jahr 1787. 360-Grad-Umsicht zeigt Basel und Umgebung, mit markanten Gebäuden und der Ringform des Panoramas. Die Darstellung umfasst Details der Stadtarchitektur und ist im oberen Bereich durch den Himmel und Flusslandschaften ergänzt.","Zirkumpolarer Panoramablick auf Basel von 1787, gezeichnet aus einem Kamin des Blauen Hauses. Schwarz-weiß, radial komponiert, mit detaillierter Darstellung der Stadt und Umgebung in 360-Grad-Perspektive.",stop,stop,stop,stop,1879,2034,26088,1434,28,38,71,66,1907,2072,26159,1500,0.0001991,0.0004296,0.0038694,0.00014772,Google,Groq,OpenAI,Novita,1761081697,1761081704,1761081701,1761081699,gen-1761081697-vHK0D0572epB8n5Z5mGg,gen-1761081704-c96PbdvRmyvgAiEXRyu0,gen-1761081701-V0zjrnyyUqk959d4obyj,gen-1761081699-GcX2puzYzHFAkJta73ze,2025-10-21T21:21:37+00:00,2025-10-21T21:21:44+00:00,2025-10-21T21:21:41+00:00,2025-10-21T21:21:39+00:00,2025-10-21T21:21:39+00:00,2025-10-21T21:21:45+00:00,2025-10-21T21:21:44+00:00,2025-10-21T21:21:41+00:00,2.085105,1.018947,3.17947,2.183085,,,,,2025-10-21T21:22:48+00:00
m28635,Landschaft bei Riehen-Ausserberg mit deren Bewohner:innen vor 48 000 Jahren,6e479615c0044bf9c932b2cb3a5d383ccb7d617ddca82670f810e57f400e0da6,"Neandertaler-Mann mit Kind auf den Schultern blickt über eine Landschaft im Mittelpaläolithikum mit Mammuten, Hirschen und Raubvögeln.","Neandertaler trägt Kind auf den Schultern, hält Speer, beobachtet Wildtiere an Wasserstelle in offener Landschaft.","Darstellung einer prähistorischen Landschaft bei Riehen-Ausserberg vor 48.000 Jahren. Ein Neandertaler trägt ein Kind auf den Schultern, während er mit einem Stab eine weite, grüne Umgebung mit verschiedenen Tieren und einem Gewässer erkundet. Im Hintergrund sind Bäume und Tiere wie Mammute sichtbar.",Neandertaler mit Kind auf dem Rücken jagen Wildtiere in einer grasbewachsenen Landschaft am Rhein; im Hintergrund fliegen Habichtartige über eine Schlucht mit Mammute und Riesenhirschen.,stop,stop,stop,stop,2415,1626,26120,2047,37,28,70,48,2452,1654,26190,2095,0.0002563,0.00046282,0.0038736,0.00040206,Google,Together,OpenAI,Alibaba,1761081728,1761081737,1761081733,1761081731,gen-1761081728-ysAhR63oKY262dTCwA2A,gen-1761081736-p0g43EPgvWEO1liU8tSm,gen-1761081733-IxVhaXtXdl7j1xVT4Rj4,gen-1761081731-LqerIvUEoAbDtXfu38jo,2025-10-21T21:22:08+00:00,2025-10-21T21:22:16+00:00,2025-10-21T21:22:13+00:00,2025-10-21T21:22:11+00:00,2025-10-21T21:22:11+00:00,2025-10-21T21:22:18+00:00,2025-10-21T21:22:16+00:00,2025-10-21T21:22:13+00:00,2.587755,2.055534,3.142244,1.961261,,,,,2025-10-21T21:22:48+00:00
m29084,Schematische Rekonstruktionszeichnungen frühmittelalterlicher Grabtypen,160f0846e1402b05a27977e9aab155eaa9e4c5c32a36b5f5e2ee150924607731,"Schematische Zeichnungen verschiedener frühmittelalterlicher Grabtypen Basels: Steinplatten-, Mauer-, Kammer- und Erdbestattungen sowie Brandgräber.","Frühmittelalterliche Grabtypen: Steinplattengrab, Mauer- und Kammergrab teils mit Hügeln überdeckt, Brandgrab und einfache Erdbestattung.","Schematische Zeichnungen verschiedener frühmittelalterlicher Grabtypen aus Basel. Oben: Steinplatten- und Mauergräber (Aufsicht und Frontalansicht), Kammergräber (Aufsicht und Querschnitt) mit Hügeln. Unten: Brandgräber (Querschnitt) und einfache Erdbestattungen (Aufsicht). Grobe Darstellungen der Grablegen und Beisetzungsarten.","Schematische Darstellung verschiedener frühmittelalterlicher Grabtypen: Steinplatten-, Mauer-, Kammer- und Brandgräber mit Hügeln, sowie einfache Erdbestattungen – jeweils mit Aufsicht und Querschnitt.",stop,stop,stop,stop,1875,2053,26113,1324,31,39,92,57,1906,2092,26205,1381,0.0001999,0.00058746,0.00397215,0.00013442,Google,Together,OpenAI,Novita,1761081739,1761081747,1761081744,1761081741,gen-1761081738-Ug9uvnl57CVD1b1ATBN7,gen-1761081747-KY2hrPR1OgHzRRxAQOsF,gen-1761081743-4VLGqdzY7vxO9pW51Iq1,gen-1761081741-27A1Y5MRMhItjKhRP78T,2025-10-21T21:22:18+00:00,2025-10-21T21:22:27+00:00,2025-10-21T21:22:23+00:00,2025-10-21T21:22:21+00:00,2025-10-21T21:22:21+00:00,2025-10-21T21:22:29+00:00,2025-10-21T21:22:27+00:00,2025-10-21T21:22:23+00:00,2.153765,1.362225,4.322615,2.315626,,,,,2025-10-21T21:22:48+00:00
m34620,Ausgrabung im Chor der Peterskirche im Jahr 1962,4ac688bbf2b9927ec3c7859f3b75999fb4a905fa7b6e3a2c09a53c51c29b4a8c,"Ausgrabung im Chor der Peterskirche Basel 1962. Freigelegte Fundamente von drei Bauphasen: Gründungsbau (9./10. Jh.), romanische Apsis (10./11. Jh.) und gotischer Chor (13. Jh.).","Freigelegte Fundamente dreier Kirchenchöre: rechteckig (9./10. Jh.), halbrunde Apsis (10./11. Jh.), gotischer Rechteckchor (13. Jh.).","Ausgrabung des rechteckigen Chores der Peterskirche, 1962. Sichtbare romanische Fundamente mit halbrunder Apsis und gotische Mauerreste. Fotograf: Peter Heman.","Ausgrabung des Chors der Peterskirche 1962: Überlagerung von Gründungsbaustufen – rechteckig (9./10. Jh.), romanisch mit halbrunder Apsis (10./11. Jh.), gotischer Rechteckchor (13. Jh.). Steinmauern, Fundamente, Reste von Bodenbelägen.",stop,stop,stop,stop,1862,2017,26087,1225,60,44,43,91,1922,2061,26130,1316,0.0002102,0.00038029,0.00385245,0.0001435,Google,Novita,OpenAI,Novita,1761081636,1761081645,1761081642,1761081639,gen-1761081636-W5fpt7O57JsfyJCir0dq,gen-1761081644-iMVMKCGZkree6ncecISv,gen-1761081642-JTh67wsb4pbNycHCpMdh,gen-1761081639-lCy7W0TGfseUtyv5bYt7,2025-10-21T21:20:36+00:00,2025-10-21T21:20:44+00:00,2025-10-21T21:20:42+00:00,2025-10-21T21:20:39+00:00,2025-10-21T21:20:39+00:00,2025-10-21T21:20:46+00:00,2025-10-21T21:20:44+00:00,2025-10-21T21:20:42+00:00,2.78662,1.908293,2.877025,2.414408,,,,,2025-10-21T21:22:48+00:00
m37030_1,"Wahlverfahren gemäss der ‹Handfeste›, um 1260",19d1b9dc21b358e95aa26b4805ca96497a6ff6de0669a1f623c27baeff89999c,"Diagramm eines indirekten Wahlverfahrens mit Kieserkollegium, um 1260.","Wahlverfahren: Alter Rat wählt Kieserkollegium (Wahlbehörde), Kieserkollegium wählt neuen Rat. Mitglieder farblich nach Gruppen sortiert.","Diagramm des Wahlverfahrens gemäß der ‹Handfeste›, um 1260. Das Schema zeigt die Struktur des indirekten Wahlverfahrens mit dem Kieserkollegium als Wahlbehörde zwischen dem alten und dem neuen Rat. Jede Gruppe ist durch Kreise in verschiedenen Farben dargestellt, die die Wahlen symbolisieren.","Indirektes Wahlverfahren: alter Rat wählt Kieserkollegium, das wiederum den neuen Rat wählt. Temporäre Wahlbehörde für unabhängige Entscheidung.",stop,stop,stop,stop,2469,1371,14830,1026,23,37,69,44,2492,1408,14899,1070,0.0002561,0.00026452,0.0022659,0.00010408,Google,Novita,OpenAI,Novita,1761081749,1761081756,1761081753,1761081751,gen-1761081749-oyqom83RAYo7fY3emZvv,gen-1761081756-77P67d3dF6afHzK7SrXf,gen-1761081753-1BPs2IopZAWGOCsww0rM,gen-1761081751-PH8pxL3UlnIrs4CAALI2,2025-10-21T21:22:29+00:00,2025-10-21T21:22:36+00:00,2025-10-21T21:22:33+00:00,2025-10-21T21:22:31+00:00,2025-10-21T21:22:31+00:00,2025-10-21T21:22:38+00:00,2025-10-21T21:22:36+00:00,2025-10-21T21:22:33+00:00,2.450338,2.106471,2.888952,1.508287,,,,,2025-10-21T21:22:48+00:00
m37716,Reste der Inneren Stadtmauer,13e296d294bbc2c27aafcffdd57fc32dc6707c9bb7f91e95639c43846121a904,Archäologische Ausgrabungsstätte mit freigelegten Fundamenten einer mittelalterlichen Stadtmauer und Bauarbeitern.,"Freigelegte Innere Stadtmauer beim Bau des Kunstmuseum-Parkings, St. Alban-Graben, Arbeiter in Schutzhelmen und Warnwesten an der Ausgrabung.","Längere Strecke der Innenstadtmauer, freigelegt beim Bau des Kunstmuseum-Parkings am St. Alban-Graben. Sichtbar sind die Grundmauern und die Mächtigkeit des städtischen Befestigungsrings. Im Vordergrund arbeiten Bauarbeiter, im Hintergrund moderne Gebäude.","Stadtmauerreste aus Stein, freigelegt 2020 beim Bau des Kunstmuseum-Parkings. Arbeiter untersuchen die Mauer in einer Baugrube neben modernem Gebäude.",stop,stop,stop,stop,2359,1583,26071,1130,25,39,62,45,2384,1622,26133,1175,0.0002459,0.00034,0.00394785,0.0001129,Google,Groq,OpenAI,Novita,1761081689,1761081696,1761081693,1761081691,gen-1761081689-cIoHCmbXOcmMTiBwElFA,gen-1761081696-keduNN2tdRFYUE63oC6g,gen-1761081693-jzu69sVxS9ZyR1VlUw0q,gen-1761081691-tXoeRePUoTRWpZr1s8jx,2025-10-21T21:21:29+00:00,2025-10-21T21:21:36+00:00,2025-10-21T21:21:33+00:00,2025-10-21T21:21:31+00:00,2025-10-21T21:21:31+00:00,2025-10-21T21:21:37+00:00,2025-10-21T21:21:36+00:00,2025-10-21T21:21:33+00:00,2.524662,0.703988,2.733749,2.036961,,,,,2025-10-21T21:22:48+00:00
m39198_1,Textilhandel des Kaufmanns Ulrich Meltinger,b4f086b7c0c6bd41afcc74d20b9f0faea334495543c6c36ff5ef54292387be76,Flussdiagramm zeigt den Textilhandel des Kaufmanns Ulrich Meltinger über verschiedene Regionen und Produktionsorte. Zeitraum: 1468–1493.,"Handelsbeziehungen von Ulrich Meltinger; Import und Export von Textilien zwischen Oberrhein und angrenzenden Regionen, Pfeildiagramm mit Hauptrichtungen England - Flandern - Frankfurt und Solothurn - Zürich - Glarus.","Flussdiagramm zum Textilhandel des Basler Kaufmanns Ulrich Meltinger (1468–1493). Es zeigt Handelsbeziehungen zu verschiedenen Regionen, darunter England, Flandern und Frankfurt a. M., sowie Akteure wie Schäfer, Hutmacher und Tuchmacher aus dem Elsass, Baden und der Schweiz. Zentraler Punkt ist Ulrich Meltinger, von dem die Handelsströme ausgehen.","Handelsnetz des Basler Kaufmanns Ulrich Meltinger (1468–1493). Flussdiagramm zeigt regionale und überregionale Handelsverbindungen mit Tuch- und Wollehandel, Produzenten in Flandern, England, Elsass, Baden und Schweiz, sowie Vertriebspunkte in Frankfurt, Zürich und Kleinbasel.",stop,stop,stop,stop,1892,2037,26106,1258,34,52,91,90,1926,2089,26197,1348,0.0002028,0.00039049,0.0038841,0.00028854,Google,Novita,OpenAI,DeepInfra,1761081758,1761081766,1761081763,1761081761,gen-1761081758-gDaPTazUaqqnq53tPgty,gen-1761081766-ZS0Q0qcjNQvy7oWaAoUS,gen-1761081763-UpIWMdRgIGMIc8jGBRw6,gen-1761081761-0mbA33XMxpyw4q0F2ALB,2025-10-21T21:22:38+00:00,2025-10-21T21:22:46+00:00,2025-10-21T21:22:43+00:00,2025-10-21T21:22:41+00:00,2025-10-21T21:22:41+00:00,2025-10-21T21:22:48+00:00,2025-10-21T21:22:46+00:00,2025-10-21T21:22:43+00:00,2.615593,1.961326,2.747733,2.612235,,,,,2025-10-21T21:22:48+00:00
